municipio,seccion,transp_asap,total_presupuestario_vig,total_presupuestario_dev,gastos_en_personal_dev,bienes_de_uso_dev,servicios_no_personales_dev,bienes_de_consumo_dev,transferencias_dev,servicio_de_la_deuda_dev,ing_corr,gto_corr,ahorro_corr,rec_cap,gto_cap,ing_tot,gto_tot,res_fin,fuentes,aplicaciones,pct_personal,pct_obra,pct_deuda,tasa_ahorro,res_fin_sobre_ingresos
La Matanza,3,100,628640.0,536978.0,98487.0,58471.0,233761.0,24680.0,99675.0,10928.0,647039.0,445215.0,201824.0,1070.0,71698.0,648109.0,516913.0,131196.0,27508.0,158704.0,18.34,10.89,2.04,31.19,20.24
La Plata,8,100,506622.0,475655.0,91791.0,113187.0,205008.0,36190.0,6626.0,18603.0,411903.0,343123.0,68780.0,68.0,113929.0,411970.0,457052.0,-45082.0,,,19.3,23.8,3.91,16.7,-10.94
Tigre,1,75,445847.0,400156.0,121733.0,45572.0,172718.0,36919.0,9760.0,12604.0,372582.0,332238.0,40344.0,13260.0,55314.0,385841.0,387552.0,-1711.0,33833.0,32122.0,30.42,11.39,3.15,10.83,-0.44
Malvinas Argentinas,1,100,425844.0,378963.0,79032.0,49355.0,125351.0,67895.0,7775.0,6352.0,328852.0,266068.0,62784.0,1105.0,63341.0,329956.0,329409.0,,49007.0,49555.0,20.85,13.02,1.68,19.09,
General Pueyrredon,,,361125.0,367863.0,176486.0,2653.0,95673.0,5760.0,1753.0,19172.0,330784.0,336113.0,-5330.0,3060.0,8017.0,333844.0,344131.0,-10287.0,34019.0,23732.0,47.98,0.72,5.21,-1.61,-3.08
Quilmes,3,30,398318.0,325770.0,125183.0,49154.0,74217.0,19264.0,49348.0,8604.0,306363.0,267673.0,38690.0,0.0,49493.0,306363.0,317167.0,-10804.0,26715.0,15911.0,38.43,15.09,2.64,12.63,-3.53
San Isidro,1,100,326167.0,324304.0,111590.0,57816.0,110491.0,22096.0,7243.0,14898.0,301155.0,251404.0,49751.0,2030.0,57832.0,303185.0,309236.0,-6051.0,21119.0,15068.0,34.41,17.83,4.59,16.52,-2.0
Vicente Lopez,1,100,317354.0,318824.0,156183.0,23586.0,97417.0,20837.0,7168.0,12613.0,293649.0,279878.0,13771.0,0.0,25312.0,293649.0,305190.0,-11541.0,25175.0,13634.0,48.99,7.4,3.96,4.69,-3.93
Moreno,1,90,354229.0,303972.0,103883.0,18202.0,71573.0,30622.0,53522.0,11685.0,257160.0,252927.0,4233.0,,,270830.0,290470.0,-19640.0,33143.0,13502.0,34.18,5.99,3.84,1.65,-7.25
Bahia Blanca,,,291871.0,280651.0,88081.0,18629.0,79117.0,6475.0,26017.0,2859.0,268169.0,251859.0,16309.0,13539.0,25940.0,281708.0,277800.0,3909.0,14086.0,,31.38,6.64,1.02,6.08,1.39
