boletin,fecha_publicacion,fecha_firma,tipo,numero,objeto,terminos_urbanismo,monto_max,tags,texto_bajado,pdf
1139,2024-02-26,2024-01-31,Decreto,DECRE-2024-76-SI-INTEN,Expte. Nº 16816/2013- Permiso de Localización-Santa María de la Salud S.R.L.,permiso de localización | zonificación/C.O.U.,,Permiso de Localización,si,https://tesi.sanisidro.gob.ar/nfs-storage/gde/v2/gde_1711130269.pdf
1140,2024-03-01,2024-02-02,Decreto,DECRE-2024-84-SI-INTEN,"Expte. Nº 1459/2018- Eximición Tasa por Alumbrado, Limpieza y Servicios Generales Cuenta N° 621.917.",excepción,,Eximición,si,https://tesi.sanisidro.gob.ar/nfs-storage/gde/v2/gde_1711130665.pdf
1140,2024-03-01,2024-02-02,Decreto,DECRE-2024-83-SI-INTEN,"Expte. Nº 1865/2023- Eximición Tasa por Alumbrado, Limpieza y Servicios Generales-Cuenta Nº 821.998",excepción,,Eximición,si,https://tesi.sanisidro.gob.ar/nfs-storage/gde/v2/gde_1711130650.pdf
1140,2024-03-01,2024-02-08,Decreto,DECRE-2024-101-SI-INTEN,"Expte. Nº 12535/2023-Autorizar al Sr. Juan María Altgelt, a la extracción de dos (2) ejemplares arbóreos.-",zonificación/C.O.U.,,Forestación | Extracción,si,https://tesi.sanisidro.gob.ar/nfs-storage/gde/v2/gde_1711131649.pdf
1140,2024-03-01,2024-02-14,Decreto,DECRE-2024-116-SI-INTEN,"Expte. Nº 14118/2023.- Autorizar la construcción con destino “Garage de Uso Particular”, en el inmueble ubicado con frente a la calle Florencio Sánchez N° 3033, de la ciudad de Martínez, jurisdicción de este Partido.-",factibilidad | mayor altura/FOT/FOS | zonificación/C.O.U.,,Factibilidad,si,https://tesi.sanisidro.gob.ar/nfs-storage/gde/v2/gde_1711131926.pdf
1140,2024-03-01,2024-02-14,Decreto,DECRE-2024-115-SI-INTEN,Expte. Nº 14863/2023- Otorgar Permiso de Localización al inmueble ubicado en la calle 25 de Mayo N° 337 de la ciudad de San Isidro.,permiso de localización | zonificación/C.O.U.,,Permiso | Localización,si,https://tesi.sanisidro.gob.ar/nfs-storage/gde/v2/gde_1711131915.pdf
1140,2024-03-01,2024-02-14,Decreto,DECRE-2024-114-SI-INTEN,Expte. Nº 1494/2024-Delegacion de facultades en la Secretaría de Planeamiento Urbano.,factibilidad | zonificación/C.O.U.,,Delegar,si,https://tesi.sanisidro.gob.ar/nfs-storage/gde/v2/gde_1711131902.pdf
1140,2024-03-01,2024-02-15,Decreto,DECRE-2024-128-SI-INTEN,"Expte. Nº 13587-2023-Autorizar a la Sra. Marina Sánchez Elia a realizar la construcción del “Conjunto de Viviendas Unifamiliares Agrupadas” en el inmueble ubicado en la calle Intendente Tomkinson N° 2147, de la ciudad de Beccar.",factibilidad | mayor altura/FOT/FOS | zonificación/C.O.U.,,Factibilidad,si,https://tesi.sanisidro.gob.ar/nfs-storage/gde/v2/gde_1711132149.pdf
1140,2024-03-01,2024-02-15,Decreto,DECRE-2024-122-SI-INTEN,"Expte. Nº 1417/2022.- Autorizar a realizar las tareas técnicas (inspecciones, informes, visados y aprobación de planos)",zonificación/C.O.U.,132500.00,Tareas especiales | Recursos Humanos,si,https://tesi.sanisidro.gob.ar/nfs-storage/gde/v2/gde_1711132028.pdf
1141,2024-03-05,2024-02-16,Decreto,DECRE-2024-130-SI-INTEN,"Expte. Nº 11622/2023-Autorizar a la firma AMB Y ASOCIADOS CONSTRUCCIONES S.R.L a la regularización, modificación interna y demolición parcial en el inmueble con frente a la calle Thames Nº 2433, de la localidad de Boulogne.",factibilidad | mayor altura/FOT/FOS | zonificación/C.O.U.,,Factibilidad,si,https://tesi.sanisidro.gob.ar/nfs-storage/gde/v2/gde_1711132182.pdf
