fecha,tipo,numero,objeto,domicilio,localidad,es_san_isidro,monto_max,pdf
2019-05-23,DECRETO,200/2019,"Designar Inspector Técnico de la obra: “FRESADO Y CARPETA ************** ASFÁLTICA EN DISTINTAS ZONAS DEL PARTIDO DE SAN ISIDRO”, correspondiente a la Licitación Pública Nº 39/18 a partir de la fecha ","la calle Chacabuco Nº 197, del partido de Pilar.- ARTÍCULO 2º.- El profesional designado en el artículo preced",Pilar,NO,,https://boletines.sanisidro.gob.ar/uploads/boletin/BOLETIN_OFICIAL_Nro_1027__2do_DE_MAYO_2019_.pdf
2019-05-23,DECRETO,1022,"Designar Inspector Técnico de la obra: “BACHEO DE HORMIGÓN *************** ARMADO EN DISTINTAS ZONAS DEL PARTIDO DE SAN ISIDRO”, la cual tramito por conducto de la Licitación Pública Nº 9/2018 adjudic",la calle Chacabuco Nº 197 del partido de Pilar.- ARTÍCULO 2º.- El profesional designado en el artículo precede,Pilar,NO,,https://boletines.sanisidro.gob.ar/uploads/boletin/BOLETIN_OFICIAL_Nro_1027__2do_DE_MAYO_2019_.pdf
2019-05-23,DECRETO,1025,"Designar Inspector Técnico de la obra: “SELLADO DE JUNTAS Y *************** GRIETAS EN DISTINTAS ZONAS DEL PARTIDO DE SAN ISIDRO”, en jurisdicción de este Partido, a partir de la fecha del Decreto de ",la calle 17 Nº 674 de la ciudad de la Plata.- ARTÍCULO 2º.- El profesional designado en el artículo precedente,Plata,NO,,https://boletines.sanisidro.gob.ar/uploads/boletin/BOLETIN_OFICIAL_Nro_1027__2do_DE_MAYO_2019_.pdf
2016-03-28,DECRETO,1089,"Designar Inspector Técnico de la obra: “FRESADO Y CARPETA ************** ASFÁLTICA EN DISTINTAS ZONAS DEL PARTIDO DE SAN ISIDRO”, la cual tramito por conducto de la Licitación Pública Nº 8/2018 adjudi",la calle Chacabuco Nº 197 del partido de Pilar.- ARTÍCULO 2º.- El profesional designado en el artículo precede,Pilar,NO,,https://boletines.sanisidro.gob.ar/uploads/boletin/BOLETIN_OFICIAL_Nro_1027__2do_DE_MAYO_2019_.pdf
2018-06-06,DECRETO,1168,Designar Inspector Técnico de la obra “CONSTRUCCION TENDIDO ************* DE RED DE GAS EN EL BARRIO BAJO DE SAN ISIDRO (CAMINO DE LA RIBERA – AV EL FOMENTISTA Y PEDRO DE MENDOZA ENTRE MARTIN Y OMAR Y,"la calle Caracas 2780, 5° Piso “D”, de la ciudad de Martínez, jurisdicción de este Partido.- ARTÍCULO 2°.- El",San Isidro,SI,,https://boletines.sanisidro.gob.ar/uploads/boletin/Boletines-Oficiales-1a-quincena-1004-2018-06-15.pdf
2018-07-03,DECRETO,1305,"Designar Inspector Técnico de la obra: “PAVIMENTACIÓN DE ************* HORMIGÓN, RED VIAL Y RED PEATONAL DEL BARRIO SAUZE – PARTIDO DE SAN ISIDRO”, (ROMA entre Manuela García y Pasaje “A” – CLEMENTE O","la calle Brasil N° 230 de la ciudad de Beccar, jurisdicción de este Partido.- ARTÍCULO 2º.- La profesional des",San Isidro,SI,,https://boletines.sanisidro.gob.ar/uploads/boletin/Boletines-Oficiales-1a-quincena-1006-2018-07-13.pdf
2002-03-05,DECRETO,429,"ro.- Prorrógase desde el 2 de enero y ARTICULO 1ro.- Adjudícase a la empresa J.A.P. hasta el 31 de marzo del corriente la contratación del Servicios Integrales SRL, con domicilio real en la calle serv","la calle servicio de mantenimiento de seis (6) fuentes Intendente Becco 1937 de Beccar, la ejecución de la dec | de $ 43.340.- Formosa 2105 de Beccar,",San Isidro,SI,43340.00,https://boletines.sanisidro.gob.ar/uploads/boletin/Boletines-Oficiales-1a-quincena-614-2002-03-01.pdf
2002-03-05,DECRETO,327/2002,"ro.- Adjudícase a la empresa Saiesa propias, Construcciones SRL, con domicilio en Liniers 511, El EL INTENDENTE MUNICIPAL DE SAN ISIDRO Talar, el mantenimiento preventivo de edificios en el decreta : ","Liniers 511, El EL INTENDENTE MUNICIPAL DE SAN ISIDRO Talar, el mantenimiento preventivo de edificios en el de | Juncal 2602 de la Bases y Condiciones",San Isidro,SI,7300.00,https://boletines.sanisidro.gob.ar/uploads/boletin/Boletines-Oficiales-1a-quincena-614-2002-03-01.pdf
2002-03-05,DECRETO,434,"ro.- CONCEDESE autorización hasta el ARTICULO 5to.- Regístrese. Comuníquese y 31 de diciembre del año 2002, con carácter publíquese.- PRECARIO, PERSONAL é INTRANSFERIBLE a Juan De Cristofano –CI nº 6.","Av. Maipú 1179, 10º “C” de Vicente de revocatoria antes citado, asimismo el artículo 2º de López, por la suma",López,NO,1000000.00,https://boletines.sanisidro.gob.ar/uploads/boletin/Boletines-Oficiales-1a-quincena-614-2002-03-01.pdf
2002-03-07,DECRETO,453,"ro.- APRUEBASE, el Acta de Recepción Provisoria de fecha 11 de mayo de 2001 a 16","Roca Nro. 50 de la ciudad de Beccar , de Secretarios de Obras Públicas y de Gobierno y este Partido.- Administ",San Isidro,SI,,https://boletines.sanisidro.gob.ar/uploads/boletin/Boletines-Oficiales-1a-quincena-614-2002-03-01.pdf
