fecha_firma,fecha_pub,numero,categoria,localidad,direccion,circunscripcion,seccion,objeto,pdf
31/01/2024,26/02/2024,DECRE-2024-76-SI-INTEN,Permiso de Localización | Zonificación/C.O.U.,San Isidro,Avenida del Libertador General San Martín N° 16121/31,I,A,Expte. Nº 16816/2013- Permiso de Localización-Santa María de la Salud S.R.L.,https://tesi.sanisidro.gob.ar/nfs-storage/gde/v2/gde_1711130269.pdf
08/02/2024,01/03/2024,DECRE-2024-101-SI-INTEN,Zonificación/C.O.U.,Boulogne,calle Eliseo Reclus N° 791,VI,J,"Expte. Nº 12535/2023-Autorizar al Sr. Juan María Altgelt, a la extracción de dos (2) ejemplares arbóreos.-",https://tesi.sanisidro.gob.ar/nfs-storage/gde/v2/gde_1711131649.pdf
14/02/2024,01/03/2024,DECRE-2024-116-SI-INTEN,Factibilidad | Altura/FOT/FOS | Zonificación/C.O.U.,Martínez,,IV,E,"Expte. Nº 14118/2023.- Autorizar la construcción con destino “Garage de Uso Particular”, en el inmueble ubicado con frente a la calle Florencio Sánchez N° 3033, de la ciudad de Martínez, jurisdicción de este Partido.-",https://tesi.sanisidro.gob.ar/nfs-storage/gde/v2/gde_1711131926.pdf
14/02/2024,01/03/2024,DECRE-2024-115-SI-INTEN,Permiso de Localización | Zonificación/C.O.U.,San Isidro,calle 25 de Mayo N° 337 de la ciudad de San Isidro,I,A,Expte. Nº 14863/2023- Otorgar Permiso de Localización al inmueble ubicado en la calle 25 de Mayo N° 337 de la ciudad de San Isidro.,https://tesi.sanisidro.gob.ar/nfs-storage/gde/v2/gde_1711131915.pdf
14/02/2024,01/03/2024,DECRE-2024-114-SI-INTEN,Factibilidad | Zonificación/C.O.U.,general / sin inmueble,,,,Expte. Nº 1494/2024-Delegacion de facultades en la Secretaría de Planeamiento Urbano.,https://tesi.sanisidro.gob.ar/nfs-storage/gde/v2/gde_1711131902.pdf
15/02/2024,01/03/2024,DECRE-2024-128-SI-INTEN,Factibilidad | Altura/FOT/FOS | Zonificación/C.O.U.,Beccar,calle Intendente Tomkinson N° 2147,VII,B,"Expte. Nº 13587-2023-Autorizar a la Sra. Marina Sánchez Elia a realizar la construcción del “Conjunto de Viviendas Unifamiliares Agrupadas” en el inmueble ubicado en la calle Intendente Tomkinson N° 2147, de la ciudad de",https://tesi.sanisidro.gob.ar/nfs-storage/gde/v2/gde_1711132149.pdf
15/02/2024,01/03/2024,DECRE-2024-122-SI-INTEN,Zonificación/C.O.U.,general / sin inmueble,,,,"Expte. Nº 1417/2022.- Autorizar a realizar las tareas técnicas (inspecciones, informes, visados y aprobación de planos)",https://tesi.sanisidro.gob.ar/nfs-storage/gde/v2/gde_1711132028.pdf
16/02/2024,05/03/2024,DECRE-2024-130-SI-INTEN,Factibilidad | Altura/FOT/FOS | Zonificación/C.O.U.,Boulogne,,V,E,"Expte. Nº 11622/2023-Autorizar a la firma AMB Y ASOCIADOS CONSTRUCCIONES S.R.L a la regularización, modificación interna y demolición parcial en el inmueble con frente a la calle Thames Nº 2433, de la localidad de Boulog",https://tesi.sanisidro.gob.ar/nfs-storage/gde/v2/gde_1711132182.pdf
20/02/2024,05/03/2024,DECRE-2024-149-SI-INTEN,Factibilidad | Altura/FOT/FOS | Zonificación/C.O.U.,Boulogne,,V,E,"Expte. Nº 12627/2023-Autorizar a las firmas SALTO 91 S.A. y MERCOSUR S.A., a la regularización, modificación int., demolición parcial y subdivisión de las u.f. en el inmueble con frente a la calle Agustin Mazza Nº 2312/2",https://tesi.sanisidro.gob.ar/nfs-storage/gde/v2/gde_1712248708.pdf
20/02/2024,05/03/2024,DECRE-2024-145-SI-INTEN,Zonificación/C.O.U.,Martínez,,III,H,"Expte. Nº 1433/2019.- Autorizar una prórroga para la obtención del plano de modificaciones internas y cambio de uso con destino “OFICINAS”, en el inmueble ubicado con frente a la calle Edison N° 1191, de la ciudad de Mar",https://tesi.sanisidro.gob.ar/nfs-storage/gde/v2/gde_1712248636.pdf
