mes,decretos,monto,pct_del_total
2024-02,11,145921269.00,0.09
2024-03,19,659768834.06,0.40
2024-04,34,3615110347.64,2.16
2024-05,25,643575597.60,0.39
2024-06,27,996622335.78,0.60
2024-07,25,10188671679.79,6.10
2024-08,15,7334946540.01,4.39
2024-09,21,31969192760.73,19.14
2024-10,25,3030278953.91,1.81
2024-11,21,1476704836.42,0.88
2024-12,23,5213215738.77,3.12
2025-01,18,10837527564.32,6.49
2025-02,21,5586349445.51,3.34
2025-03,28,8577320537.67,5.14
2025-04,27,25047884552.08,15.00
2025-05,16,1849285754.29,1.11
2025-06,23,903058357.57,0.54
2025-07,25,2099323010.39,1.26
2025-08,17,5360094224.63,3.21
2025-09,26,4265590594.08,2.55
2025-10,21,2989232051.69,1.79
2025-11,17,2413477661.05,1.45
2025-12,11,2482252091.02,1.49
2026-01,10,1552701597.40,0.93
2026-02,8,1976534569.46,1.18
2026-03,13,5594248818.01,3.35
2026-04,11,8583346361.94,5.14
2026-05,4,1990531235.76,1.19
2026-06,16,7313871106.70,4.38
2026-07,15,2309329003.66,1.38
