boletin,fecha_publicacion,fecha_firma,tipo,numero,objeto,tags,pdf
#1140,01/03/2024,01/02/2024,Decreto,DECRE-2024-81-SI-INTEN,Expediente Nº 16002/2023. Adjudicación Licitación Privada N° 204/2023. Adquisición de “CIRCUITO CORRUGADO COMPLETO – FILTRO VIRAL BACTERIANO”,Licitación Privada | Adjudicación,
#1140,01/03/2024,07/02/2024,Decreto,DECRE-2024-97-SI-INTEN,"Expte. Nº 386/2024- Adjudicación Privada Nº 1/24 ""Material Descartable"".",Licitación privada | Adjudicación,
#1140,01/03/2024,07/02/2024,Decreto,DECRE-2024-99-SI-INTEN,Expte. Nro. 1038-2024.- Adjudicación Concurso de precios N° 6/2024 para la adquisición de “HIPOCLORITO DE SODIO (14.500 lts.) Y ÁCIDO AL 19% (10.000 lts.)”,Concurso de precios | Adjudicación,
#1140,01/03/2024,08/02/2024,Decreto,DECRE-2024-105-SI-INTEN,"Expte. Nro. 382/2024 (Cuerpos 0, 2 y 3)- Adjudicación Licitación Privada Nº 2/2024- Provisión de Medicamentos.",Licitación privada | Adjudicación,
#1140,01/03/2024,08/02/2024,Decreto,DECRE-2024-106-SI-INTEN,"Expte. Nº 339/2024- Adjudicación Concurso de Precios 2/24 ""Jeringas Descartables"".",Concurso de precios | Adjudicación,
#1140,01/03/2024,09/02/2024,Decreto,DECRE-2024-107-SI-INTEN,"Expte. Nro. 1001/2024.- Adjudicación de Licitación Privada Nº 4/2024, para el “ALQUILER DE ESTRUCTURAS METÁLICAS”.-",Licitación privada | Adjudicación,
#1140,01/03/2024,09/02/2024,Decreto,DECRE-2024-108-SI-INTEN,Expte. Nº 1003/2024.- Adjudicación Concurso de Precios Nº 7/24 para el alquiler de equipo de sonido y material para iluminación.-,Concurso de precios | Adjudicación,
#1141,05/03/2024,26/02/2024,Decreto,DECRE-2024-170-SI-INTEN,"Expediente Nº 1002-2024 - Adjudicar el Concurso de Precios N° 8/2024, referente a la provisión de “MEDICAMENTOS”.",Concurso de precios | Adjudicación,
#1141,05/03/2024,27/02/2024,Decreto,DECRE-2024-175-SI-INTEN,"Expediente Nº 580-2024 - Adjudicación del Concurso de Precios N° 5/2024, referente a la adquisición de “ARTÍCULOS DE LIMPIEZA”.",Concurso de precios | Adjudicación,
#1141,05/03/2024,27/02/2024,Decreto,DECRE-2024-178-SI-INTEN,"Expte. Nº 144/2024- Adjudicación del Concurso de Precios Nº 1/2024 para ""Elementos de Oxigenación"".-",Concurso de Precios | Adjudicación,
#1141,05/03/2024,29/02/2024,Decreto,DECRE-2024-185-SI-INTEN,Expediente Nº 1401-2024 - Adjudicar el Concurso de Precios N° 19/2024.,Concurso de precios | Adjudicación,
#1142,03/04/2024,01/03/2024,Decreto,DECRE-2024-188-SI-INTEN,"Expte. N° 4663/2015 (Alcance 31).- Otorgar un reconocimiento de mayores costos por variación de los insumos principales a las empresas MANTELECTRIC I.C.I.S.A. – SETI S.A. – UTE, adjudicatarias de la Licitación Pública N° 20/2015.-",Mayores costos | Licitación pública,
#1142,03/04/2024,07/03/2024,Decreto,DECRE-2024-208-SI-INTEN,Expediente Nº 1399-2024 - Adjudicar el Concurso de Precios N° 18/2024.,Concurso de precios | Adjudicación,
#1142,03/04/2024,07/03/2024,Decreto,DECRE-2024-210-SI-INTEN,"Expte. Nº 1051/2024-Adjudicar a SUIZO ARGENTINA S.A el Concurso de Precios N° 10/2024, “PROVISIÓN DE PAÑALES GERIÁTRICOS”.-",Concurso de precios | Adjudicación,
#1142,03/04/2024,08/03/2024,Decreto,DECRE-2024-216-SI-INTEN,"Expte. N° 1049/2024.- Adjudicación Licitación Privada N° 7/2024, para la “ADQUISICIÓN DE GUANTES DE LÁTEX”.-",Licitación privada | Adjudicación,
#1142,03/04/2024,08/03/2024,Decreto,DECRE-2024-218-SI-INTEN,"Expte. N° 1042/2024.- Adjudicar el Concurso de Precios N° 12/2024, para la provisión de “PAPEL HIGIÉNICO Y PAPEL DE COCINA”.-",Concurso de precios | Adjudicación,
#1142,03/04/2024,08/03/2024,Decreto,DECRE-2024-220-SI-INTEN,Expediente Nº 1050-2024 - Adjudicar la Licitación Privada Nº 6/2024 para la adquisición de “MATERIAL DESCARTABLE”.,Licitación privada | Adjudicación,
