accion,boletin,fecha_publicacion,fecha_firma,tipo,numero,objeto,tags,pdf
promulga,#1141,05/03/2024,23/02/2024,Decreto,DECRE-2024-164-SI-INTEN,"Expediente Nº 879-2024. - Modificar, a partir del 1º de enero del 2024, el artículo 23, inciso b) de la Ordenanza N° 9325, referente a las “Remuneraciones Básicas” para las “Guardias Médicas – Personal Jornalizado”.",Modificar | Guardias Médicas | Recursos Humanos,
promulga,#1142,03/04/2024,08/03/2024,Decreto,DECRE-2024-217-SI-INTEN,Expediente Nº 2105-2024 - Promulgar Ordenanza Municipal Nº 9326.,Promulgar | Ordenanza,
promulga,#1143,04/04/2024,26/03/2024,Decreto,DECRE-2024-283-SI-INTEN,Expediente Nº 2407-2024 - Excluir a Matías L. RUELLA (Legajo N° 63.272) de los alcances del art. 13 e incluirlo en el art. 14 -2do. párrafo- de la Ordenanza Nº 9325 - Asignar funciones de Supervisor General a Alejandro MORALES (Legajo Nº 66.936).,Excluir | Asignar | Recursos Humanos | Incluir,
promulga,#1143,04/04/2024,26/03/2024,Decreto,DECRE-2024-284-SI-INTEN,"Expediente Nº 2407-2024 - Incluir al agente Christian E. Leopoldo VALENZUELA (Legajo N° 53.555) en los alcances del artículo 14 -segundo párrafo- de la Ordenanza N° 9325, y asignarle funciones de Director.",Incluir | Recursos Humanos,
promulga,#1144,18/04/2024,09/04/2024,Decreto,DECRE-2024-331-SI-INTEN,"Expediente Nº 6351-2023 - Promúlgase y cúmplase la Ordenanza Municipal Nº 9327 sancionada por el Honorable Concejo Deliberante, con fecha 20 de marzo del 2024.",Promulgación Ordenanza N° 9327,
promulga,#1144,18/04/2024,11/04/2024,Decreto,DECRE-2024-342-SI-INTEN,Expediente Nº 2597-2024 - Limitar funciones e incluir a la agente Ana María SALETTE (Legajo N° 52.708) en los alcances de los artículos 14 -segundo párrafo- y 16 -primer párrafo- de la Ordenanza Nº 9325.,Limitaciones e inclusiones Ord. 9325,
promulga,#1279,30/04/2024,23/04/2024,Decreto,DECRE-2024-387-SI-INTEN,"Expediente Nº 8192-2022 - Promulgar y hacer cumplir la Ordenanza Municipal Nº 9339 sancionada por el Honorable Concejo Deliberante, con fecha 17 de abril del 2024.-",Promulgación Ordenanza N° 9339,
promulga,#1146,17/05/2024,02/05/2024,Decreto,DECRE-2024-518-SI-INTEN,"Expediente Nº 4240-2024 - Modificar el porcentaje de la retribución prevista en el artículo 14 de la Ordenanza N° 9325 (Bonificación por Disposición Permanente), percibida por el trabajador Maximiliano César Chisnerman (Legajo Nº 70.438).",Modificación retribución personal,
promulga,#1146,17/05/2024,03/05/2024,Decreto,DECRE-2024-523-SI-INTEN,Expediente Nº 6089-2011 (Cuerpos 0 y 2) - PROMÚLGASE la Ordenanza Municipal Nº 9338.,Promulgación Ordenanza N° 9338,
promulga,#1146,17/05/2024,03/05/2024,Decreto,DECRE-2024-524-SI-INTEN,"Expediente N° 6964-2023 - Promulgar y cumplir la Ordenanza Municipal Nº 9329 sancionada por el Honorable Concejo Deliberante, en fecha 5 de abril del 2024.",Promulgación Ordenanza N° 9329,
promulga,#1146,17/05/2024,03/05/2024,Decreto,DECRE-2024-525-SI-INTEN,"Expediente N° 430-HCD-2023 - Promulgar y cumplir la Ordenanza Municipal Nº 9330 sancionada por el Honorable Concejo Deliberante, en fecha 5 de abril del 2024.",Promulgación Ordenanza N° 9330,
