pagina,boletin,fecha_publicacion,tipo,numero,objeto,fecha_firma,tags,pdf
1,#1238,08/09/2026,Ordenanza,INLEG-2026-00332547-SI-DELE,Ordenanza Nº 9439- Crédito Público -Bono de infraestructura de San Isidro (BISI).-,08/07/2026,Ordenanza Municipal,https://tesi.sanisidro.gob.ar/boletin/pdf/eyJpdiI6IjRaNm1IYzM5Si8yZ0g2RmYvSFBXeXc9PSIsInZhbHVlIjoiTU1nanVrUE5QaGErWnN2NWppS1BuZ1IvU0xwYTJyWUVNYS9MMDVlM0FEVW5LMHd6eFNnRWFSMnNSYWpQY0wyRCIsIm1hYyI6IjJmMTA0OTQyMzFjNzE2MDU3ZDFlMmRlMDUzYWY3ZjM0ZWY2YzVkYTQ2NDg2ODgxMGEyYjNkZjMzMzI2OTA3MzkiLCJ0YWciOiIifQ==
1,#1238,08/09/2026,Ordenanza,INLEG-2026-00332484-SI-DELE,Ordenanza Nº 9436 - Licitación Pública -Servicio de Acompañantes terapéuticos.-,03/06/2026,Ordenanza Municipal,https://tesi.sanisidro.gob.ar/boletin/pdf/eyJpdiI6Im9jdzlqWUhLcS9odTZLaUh5eVY4Y2c9PSIsInZhbHVlIjoib1hGNGpSVVFhYmYxajZ2c0F2bGJETmUyMy9qZGxiakkxRU1NQ0lCc1hzazU1SW9ZK05SOWMycTJ2aVpybHFPeiIsIm1hYyI6IjVhNGNhNDc5MjIwOWEwZDFlOGRiYjZlMDUyZjIxODQ5MGM4YjlkZjZlNWNmMjk5ZGQwYTA5MTk3ZDgwZTQxNTMiLCJ0YWciOiIifQ==
1,#1237,01/09/2026,Ordenanza,INLEG-2026-00322086-SI-DELE,Ordenanza Nº 9445 - Modificaciones: Artículo 3º del Anexo de la Ordenanza Nº 8996 .-,19/08/2026,Ordenanza Municipal,https://tesi.sanisidro.gob.ar/boletin/pdf/eyJpdiI6IlhNTjZCRmtiNkJpNGlGZDY5TnRNZFE9PSIsInZhbHVlIjoiUjdsaEdKV0Vrd3lQcHRrN1pSZjl1Zz09IiwibWFjIjoiY2FlZDkxMDIwZDczNGE0MDUyNTliOWU2NjZkMzFmMmQwMGI2ODRhNDhkN2JmOGYyMDE2OTMzZTFjYmI2MTAyNCIsInRhZyI6IiJ9
1,#1237,01/09/2026,Decreto,DECRE-2026-900-SI-INTEN,Expediente Nº EX-2026-00275249-SI-SDMEYA - Promulgar y hacer cumplir la Ordenanza Municipal Nº 9445.-,01/09/2026,Promulgación | Ordenanza,https://tesi.sanisidro.gob.ar/boletin/pdf/eyJpdiI6IkcvUytnRFZnUEl0WGRFNkNROUkxOHc9PSIsInZhbHVlIjoiYVJlTUpRUWNRS2xKbk5TWFhXY2VUL3dFTDJjeWpQQ3krRDJiWU00ZUlUUElPamZpMEkzR2FRaFVsZUVZQ1NiayIsIm1hYyI6ImQxYjIwMjBiYmY3NzI1MGQ2OGY2YTNhMTk0ZTkzMWEwZDM3MWY1MDgxMjEwYWUyYWQ3YmZjMzA0YzEyM2UyNGEiLCJ0YWciOiIifQ==
1,#1236,01/09/2026,Decreto,DECRE-2026-815-SI-INTEN,Expediente Nº EX-2026-00255041-SI-SSRH - Convalidación.-,31/07/2026,Convalidación,https://tesi.sanisidro.gob.ar/boletin/pdf/eyJpdiI6IkVyUzFaMUg0YW84dTczbVdMano4d2c9PSIsInZhbHVlIjoiTGNBRnRzaWxNZzkzYkFZcms2eEhFZWpDQTZKSXJHOE90T3F5azJOY1FOeDlkVWZWa0xvOFdaNHY2Y2MxenZwOCIsIm1hYyI6Ijk3ZDViZmU5NzQzM2UyZDdiNTYxZTMwNzhjODk5NDQ4MzQ2OWZkMzE2MWUxNjM0NDA1NDZjZTc1OTBjNmU3NDciLCJ0YWciOiIifQ==
1,#1236,01/09/2026,Decreto,DECRE-2026-814-SI-INTEN,Expediente N° EX-2026-00163277-SI-SSDS - Adjudicación Licitación Pública N° 17/2026 “BOLSONES DE ALIMENTOS”.-,31/07/2026,Adjudicación | Licitación Pública,https://tesi.sanisidro.gob.ar/boletin/pdf/eyJpdiI6IlpUM3NocWVkU1AzUXlmTkR3a2VhOWc9PSIsInZhbHVlIjoieG9kc2FXYjkzOW5PZFhvRmQwTGxQTGZGaWFCUFc1aHE0bHFTaTdEcG9BTDM2dVoxY3ZVb1BzMWpOWXRabDZBaiIsIm1hYyI6Ijg5YmQzMDk1NmVmMjljMjhmMTllYzMyZDFiMzRhNzA0NzQyOTcyZDA0Nzc1ZGFmNjMwNjRjZWMyNTY2MTY0YjQiLCJ0YWciOiIifQ==
1,#1236,01/09/2026,Decreto,DECRE-2026-813-SI-INTEN,Expediente Nº EX-2026-00235762-SI-DDS - Crear la Dirección de Coordinación General y designar a la Dra. Jimena Edith Fernández Patri (Legajo N° 78.069) con funciones de Directora.-,30/07/2026,Creación | Dirección,https://tesi.sanisidro.gob.ar/boletin/pdf/eyJpdiI6InROaTJ2dDJZemdxZEY5OFJHNHFMdVE9PSIsInZhbHVlIjoiTTJnZU1iMlRsOHdUb2NsNDNUYXBhQTRMaDdYWVhQY29pZmpONkg3eDRWZzRiZmljSHNyck92UFNwT29PZFhnQSIsIm1hYyI6IjQ3YWY3MDIwMzE4NjNjZGRlYmYwYTI4MDk2YmQ0NGEwNWNiODQwY2VhYjZiZTNmNTcyMjkxNzMxYjgwZTNlZWEiLCJ0YWciOiIifQ==
1,#1236,01/09/2026,Decreto,DECRE-2026-812-SI-INTEN,Expediente Nº 3601/2020 - Registración Adenda.-,30/07/2026,Registro | Convenio,https://tesi.sanisidro.gob.ar/boletin/pdf/eyJpdiI6IkpmZ2xES2NKYi9GQi9CV0NjYVVDOXc9PSIsInZhbHVlIjoiajJRMEIrb2Foa1cwVGcvOG9sT0pGOWNPTHZDeVpyMkJ1TWxPQXlYVGVva0p0OXRHZC9ZdVZqbXVpZkpyUEF2NSIsIm1hYyI6ImM0ZmU2MWRiNzMxYWZjMzEyOTkxZTc2Yzc4NjFiN2Q1YjUxN2JjZjI2NmQwMWU5MmY5MGJkMTc1ZTgwOWUzNjUiLCJ0YWciOiIifQ==
1,#1236,01/09/2026,Decreto,DECRE-2026-811-SI-INTEN,Expediente N° EX-2026-00194392-SI-DDS - Crear la Dirección de Presupuesto dependiente de la Contaduría General.-,30/07/2026,Creación | Dirección,https://tesi.sanisidro.gob.ar/boletin/pdf/eyJpdiI6InlsS2xvcVVvSE54QkF3a2lnWEZXSkE9PSIsInZhbHVlIjoiVWtlSUpDbEsxWVlrZ2oraEE0d1BnZkpmQk1wdllJZEJpVzB5RTVPVWFNb1ZxUWlRR0xkem5oVjA4dkVPL0xjNiIsIm1hYyI6ImUwMjM5MTIxNjY4NDY4MWFmOWRkNTE4N2Q1MzRlZGNkZWMzZWQyNjJkMDBjYjMyZGFjNTM3ZGE0ZWJiMjI2ZTIiLCJ0YWciOiIifQ==
1,#1236,01/09/2026,Decreto,DECRE-2026-810-SI-INTEN,Expediente Nº EX-2026-00260968-SI-SSOBPU - Prorrogar el plazo contractual de la obra “FINALIZACIÓN DE VIVIENDAS EN LOS BARRIOS LA CAVA Y LA CAVA CHICA” (Licitación Pública N° 6/2025).-,30/07/2026,Prórroga | Licitación Pública,https://tesi.sanisidro.gob.ar/boletin/pdf/eyJpdiI6IjN0MUlXV1VjS3YzNGNTQUFSMTRPc0E9PSIsInZhbHVlIjoiZWlxeXZVRXZ3SWZkOGZvYlBlUXVBUVVTKzZtb1paZ1AvZ2dwb1NBbDRuTjR6OTA5WTVib3hDOUtINnpSa3VMQyIsIm1hYyI6ImU0YWZjMDQ2MzdlZWJmYzIzNGFmNjk3ZmY5ODE0Nzk0NDM3MjE2NjU1ODJkNzU5YzRmMzRlOTkxNjNlZmU3NTEiLCJ0YWciOiIifQ==
