boletin,fecha_publicacion,fecha_firma,tipo,numero,objeto,tags,pdf
#1139,26/02/2024,30/01/2024,Decreto,DECRE-2024-72-SI-INTEN,"Expte. Nº 995-2024-Llamado Licitación Pública Nº 6/2024-CONTRATACIÓN DEL SERVICIO DE LIMPIEZA, DESOBSTRUCCIÓN Y DESAGOTE DE POZOS CIEGOS Y CONDUCTOS PLUVIALES",Licitación Pública | Llamado,
#1139,26/02/2024,30/01/2024,Decreto,DECRE-2024-73-SI-INTEN,"Expte. Nro. 996-2024.-Llamado a Licitación Privada Nro. 3/2024-CONTRATACIÓN DE HORAS DE UN CAMIÓN ATMOSFÉRICO, UN CAMIÓN HIDROCINÉTICO Y EL SERVICIO DE LIMPIEZA Y DESOBSTRUCCIÓN DE CONDUCTOS PLUVIALES.",Licitación Privada | Llamado,
#1140,01/03/2024,02/02/2024,Decreto,DECRE-2024-83-SI-INTEN,"Expte. Nº 1865/2023- Eximición Tasa por Alumbrado, Limpieza y Servicios Generales-Cuenta Nº 821.998",Eximición,
#1140,01/03/2024,02/02/2024,Decreto,DECRE-2024-84-SI-INTEN,"Expte. Nº 1459/2018- Eximición Tasa por Alumbrado, Limpieza y Servicios Generales Cuenta N° 621.917.",Eximición,
#1141,05/03/2024,23/02/2024,Decreto,DECRE-2024-165-SI-INTEN,"Expte. Nº 194-2021.- Autorizar las tareas de emisión de tasas, avisos, intimaciones, recibos de deuda, como así también, la limpieza, mantenimiento y recupero de equipamiento informático utilizados a tales fines.-",Tareas especiales | Recursos Humanos,
#1141,05/03/2024,26/02/2024,Decreto,DECRE-2024-171-SI-INTEN,"Expte. Nº 1792-2024.- Autorizar a efectuar tareas de conducción de vehículos municipales para transporte de personal, supervisión en la vía pública, barrido y mantenimiento de los espacios verdes, ante eventuales fenómenos meteorológicos.-",Tareas especiales | Recursos Humanos,
#1141,05/03/2024,27/02/2024,Decreto,DECRE-2024-175-SI-INTEN,"Expediente Nº 580-2024 - Adjudicación del Concurso de Precios N° 5/2024, referente a la adquisición de “ARTÍCULOS DE LIMPIEZA”.",Concurso de precios | Adjudicación,
#1142,03/04/2024,01/03/2024,Decreto,DECRE-2024-191-SI-INTEN,"Expediente Nº 996-2024 - Segundo Llamado a la Licitación Privada Nº 3/2024. “CONTRATACIÓN DE HORAS DE UN CAMIÓN ATMOSFÉRICO, UN CAMIÓN HIDROCINÉTICO Y EL SERVICIO DE LIMPIEZA Y DESOBSTRUCCIÓN DE CONDUCTOS PLUVIALES”",Segundo llamado | Licitación privada,
#1143,04/04/2024,18/03/2024,Decreto,DECRE-2024-245-SI-INTEN,"Expediente Nº 5229-2008 (Alcances 50, 51, 54, 55 y 56) - Otorgar un reconocimiento de mayores costos sobre las prestaciones adjudicadas mediante Licitación Pública N° 17/2008. BENITO ROGGIO E HIJOS S.A. – CLIBA INGENIERÍA AMBIENTAL S.A.",Reconocimiento de Mayores Costos,
#1143,04/04/2024,19/03/2024,Decreto,DECRE-2024-246-SI-INTEN,"Expte. Nº 2830-2024.- Llamado a Licitación Privada Nro. 15/2024, para la contratación del “SERVICIO DE LIMPIEZA DE LA BASE DE PATRULLA”.-",Llamado a Licitación Privada,
