anio,bloque,concepto,monto_pesos,fuente,confianza
2014,recursos_total,Recursos ejecutados (rubros de calculo),1710477541.74,Rendicion MSI 2014 (OCR) + SIMCo,alta - coincide en 2 fuentes
2014,recursos_origen,Origen municipal,1054325949.90,Rendicion MSI 2014 (OCR),alta - suma cuadra
2014,recursos_origen,Origen provincial,583375647.55,Rendicion MSI 2014 (OCR),alta - suma cuadra
2014,recursos_origen,Origen nacional,54639561.63,Rendicion MSI 2014 (OCR),alta - suma cuadra
2014,recursos_origen,Otros origenes,18136382.66,Rendicion MSI 2014 (OCR),alta - suma cuadra
2014,recursos_caracter,Recursos corrientes,1658458578.37,Rendicion MSI 2014 (OCR),alta
2014,recursos_caracter,Recursos de capital,52018963.37,Rendicion MSI 2014 (OCR),alta
2014,recursos_caracter,Fuentes financieras,0.00,Rendicion MSI 2014 (OCR) + SIMCo,alta
2014,gastos_total,Gastos ejecutados (incluye aplicaciones financieras),1968907491.18,Rendicion MSI 2014 (OCR),alta - suma cuadra
2014,gastos_total,Gastos corrientes + de capital,1836789774.71,Rendicion MSI 2014 + SIMCo,alta - coincide en 2 fuentes
2014,gastos_caracter,Gastos corrientes,1703757584.86,Rendicion MSI 2014 (OCR) + SIMCo,alta - coincide en 2 fuentes
2014,gastos_caracter,Gastos de capital,133032189.85,Rendicion MSI 2014 (OCR) + SIMCo,alta - coincide en 2 fuentes
2014,gastos_caracter,Aplicaciones financieras,132117716.47,Rendicion MSI 2014 (OCR) + SIMCo,alta - coincide en 2 fuentes
2014,gastos_objeto,Recursos humanos (personal),712862278.43,Rendicion MSI 2014 (OCR) + SIMCo,alta - coincide en 2 fuentes
2014,gastos_objeto,Bienes de consumo,171626175.92,Rendicion MSI 2014 (OCR),alta - suma cuadra
2014,gastos_objeto,Servicios no personales,701031526.09,Rendicion MSI 2014 (OCR),alta - suma cuadra
2014,gastos_objeto,Bienes de uso,83770947.31,Rendicion MSI 2014 (OCR),alta - suma cuadra
2014,gastos_objeto,Transferencias,167498846.96,Rendicion MSI 2014 (OCR),alta - suma cuadra
