anio,bloque,concepto,monto_pesos,fuente,confianza,coef_deflactor,base_coef,monto_constante_dic2025,monto_pesos_const_dic2025
2014,recursos_total,Recursos ejecutados (rubros de calculo),1710477541.74,Rendicion MSI 2014 (OCR) + SIMCo,alta - coincide en 2 fuentes,195.10107668,"anual 2014, promedio de 12 meses ponderado por dias",333716010030.43,333716010030.43
2014,recursos_origen,Origen municipal,1054325949.90,Rendicion MSI 2014 (OCR),alta - suma cuadra,195.10107668,"anual 2014, promedio de 12 meses ponderado por dias",205700127997.15,205700127997.15
2014,recursos_origen,Origen provincial,583375647.55,Rendicion MSI 2014 (OCR),alta - suma cuadra,195.10107668,"anual 2014, promedio de 12 meses ponderado por dias",113817216945.90,113817216945.90
2014,recursos_origen,Origen nacional,54639561.63,Rendicion MSI 2014 (OCR),alta - suma cuadra,195.10107668,"anual 2014, promedio de 12 meses ponderado por dias",10660237303.34,10660237303.34
2014,recursos_origen,Otros origenes,18136382.66,Rendicion MSI 2014 (OCR),alta - suma cuadra,195.10107668,"anual 2014, promedio de 12 meses ponderado por dias",3538427784.05,3538427784.05
2014,recursos_caracter,Recursos corrientes,1658458578.37,Rendicion MSI 2014 (OCR),alta,195.10107668,"anual 2014, promedio de 12 meses ponderado por dias",323567054269.17,323567054269.17
2014,recursos_caracter,Recursos de capital,52018963.37,Rendicion MSI 2014 (OCR),alta,195.10107668,"anual 2014, promedio de 12 meses ponderado por dias",10148955761.26,10148955761.26
2014,recursos_caracter,Fuentes financieras,0.00,Rendicion MSI 2014 (OCR) + SIMCo,alta,195.10107668,"anual 2014, promedio de 12 meses ponderado por dias",0.00,0.00
2014,gastos_total,Gastos ejecutados (incluye aplicaciones financieras),1968907491.18,Rendicion MSI 2014 (OCR),alta - suma cuadra,195.10107668,"anual 2014, promedio de 12 meses ponderado por dias",384135971412.54,384135971412.54
2014,gastos_total,Gastos corrientes + de capital,1836789774.71,Rendicion MSI 2014 + SIMCo,alta - coincide en 2 fuentes,195.10107668,"anual 2014, promedio de 12 meses ponderado por dias",358359662680.74,358359662680.74
2014,gastos_caracter,Gastos corrientes,1703757584.86,Rendicion MSI 2014 (OCR) + SIMCo,alta - coincide en 2 fuentes,195.10107668,"anual 2014, promedio de 12 meses ponderado por dias",332404939207.90,332404939207.90
2014,gastos_caracter,Gastos de capital,133032189.85,Rendicion MSI 2014 (OCR) + SIMCo,alta - coincide en 2 fuentes,195.10107668,"anual 2014, promedio de 12 meses ponderado por dias",25954723472.83,25954723472.83
2014,gastos_caracter,Aplicaciones financieras,132117716.47,Rendicion MSI 2014 (OCR) + SIMCo,alta - coincide en 2 fuentes,195.10107668,"anual 2014, promedio de 12 meses ponderado por dias",25776308731.80,25776308731.80
2014,gastos_objeto,Recursos humanos (personal),712862278.43,Rendicion MSI 2014 (OCR) + SIMCo,alta - coincide en 2 fuentes,195.10107668,"anual 2014, promedio de 12 meses ponderado por dias",139080198046.25,139080198046.25
2014,gastos_objeto,Bienes de consumo,171626175.92,Rendicion MSI 2014 (OCR),alta - suma cuadra,195.10107668,"anual 2014, promedio de 12 meses ponderado por dias",33484451708.46,33484451708.46
2014,gastos_objeto,Servicios no personales,701031526.09,Rendicion MSI 2014 (OCR),alta - suma cuadra,195.10107668,"anual 2014, promedio de 12 meses ponderado por dias",136772005526.78,136772005526.78
2014,gastos_objeto,Bienes de uso,83770947.31,Rendicion MSI 2014 (OCR),alta - suma cuadra,195.10107668,"anual 2014, promedio de 12 meses ponderado por dias",16343802014.68,16343802014.68
2014,gastos_objeto,Transferencias,167498846.96,Rendicion MSI 2014 (OCR),alta - suma cuadra,195.10107668,"anual 2014, promedio de 12 meses ponderado por dias",32679205384.55,32679205384.55
