variable,municipio,anio,valor_pesos,unidad,fuente
Recursos Totales (Corrientes y de Capital),SAN ISIDRO,2014,1710477541.00,Pesos,DPCM
Recursos Corrientes Totales,SAN ISIDRO,2014,1638490336.00,Pesos,DPCM
Recursos de Capital Totales,SAN ISIDRO,2014,71987205.00,Pesos,DPCM
Recursos Corrientes de Jurisdiccion Municipal - Total de Tasas y Derechos,SAN ISIDRO,2014,1033434744.00,Pesos,DPCM
Recursos Corrientes de Jurisdiccion Municipal - Total Otros (no incluye Tasas y Derechos),SAN ISIDRO,2014,33112787.00,Pesos,DPCM
Ingresos Corrientes de otras Jurisdicciones coparticipacion,SAN ISIDRO,2014,435612216.00,Pesos,DPCM
Ingresos Corrientes de otras Jurisdicciones Descentralizacion,SAN ISIDRO,2014,6517161.00,Pesos,DPCM
Ingresos Corrientes de otras Jurisdicciones Transferencias Corrientes,SAN ISIDRO,2014,18568279.00,Pesos,DPCM
Ingresos Corrientes de otras Jurisdicciones Otros Ingresos de Otras Jurisdicciones,SAN ISIDRO,2014,13767988.00,Pesos,DPCM
Gastos Totales (Corrientes y de Capital),SAN ISIDRO,2014,1836789774.00,Pesos,DPCM
Gastos Corrientes Totales,SAN ISIDRO,2014,1703757584.00,Pesos,DPCM
Gastos de Capital Totales,SAN ISIDRO,2014,133032189.00,Pesos,DPCM
Gastos Corrientes - De Funcionamiento (Personal + Bienes y Servicios),SAN ISIDRO,2014,1585292180.00,Pesos,DPCM
Gastos Corrientes - De Funcionamiento - Personal,SAN ISIDRO,2014,712862278.00,Pesos,DPCM
Gastos Corrientes - De Funcionamiento - Bienes y Servicios,SAN ISIDRO,2014,872429902.00,Pesos,DPCM
Gastos Corrientes - Transferencias,SAN ISIDRO,2014,118465404.00,Pesos,DPCM
Gastos Corrientes - Intereses de la Deuda,SAN ISIDRO,2014,0.00,Pesos,DPCM
Gastos de Capital - Inversion Real (Bienes + Trabajos Publicos),SAN ISIDRO,2014,83998747.00,Pesos,DPCM
Gastos de Capital - Transferencias,SAN ISIDRO,2014,49033442.00,Pesos,DPCM
Gastos de Capital - Inversion Financiera,SAN ISIDRO,2014,0.00,Pesos,DPCM
Fuentes Financieras,SAN ISIDRO,2014,0.00,Pesos,DPCM
Aplicaciones financieras,SAN ISIDRO,2014,132117716.00,Pesos,DPCM
