fuente,anio,trimestre,periodo_desde,periodo_hasta,periodo_tipo,fila,motivo
2024_ii_gastos_por_objeto_1.pdf,2024,II,1/4/2024,30/6/2024,trimestre,1 GASTOS EN PERSONAL,devengado > credito_vigente: 18489138542.51 vs 381379216.00 (diferencia 18107759326.51)
2024_ii_gastos_por_objeto_1.pdf,2024,II,1/4/2024,30/6/2024,trimestre,2 BIENES DE CONSUMO,devengado > credito_vigente: 4508837712.73 vs 77202201.07 (diferencia 4431635511.66)
2024_ii_gastos_por_objeto_1.pdf,2024,II,1/4/2024,30/6/2024,trimestre,3 SERVICIOS NO PERSONALES,devengado > credito_vigente: 17478515957.66 vs 350000.00 (diferencia 17478165957.66)
2024_ii_gastos_por_objeto_1.pdf,2024,II,1/4/2024,30/6/2024,trimestre,4 BIENES DE USO,devengado > credito_vigente: 285148118.60 vs -14757232.37 (diferencia 299905350.97)
2024_ii_gastos_por_objeto_1.pdf,2024,II,1/4/2024,30/6/2024,trimestre,5 TRANSFERENCIAS,devengado > credito_vigente: 775615020.27 vs -532890550.68 (diferencia 1308505570.95)
2024_ii_gastos_por_objeto_1.pdf,2024,II,1/4/2024,30/6/2024,trimestre,7 SERVICIO DE LA DEUDA Y DISMINUCION DE OTROS PASIVOS,devengado > credito_vigente: 1036881898.09 vs 115397761.57 (diferencia 921484136.52)
2024_iii_gastos_por_objeto.pdf,2024,III,1/7/2024,30/9/2024,trimestre,1 GASTOS EN PERSONAL,"credito_vigente vacio, no se puede validar la fila"
2024_iii_gastos_por_objeto.pdf,2024,III,1/7/2024,30/9/2024,trimestre,2 BIENES DE CONSUMO,"credito_vigente vacio, no se puede validar la fila"
2024_iii_gastos_por_objeto.pdf,2024,III,1/7/2024,30/9/2024,trimestre,3 SERVICIOS NO PERSONALES,devengado > credito_vigente: 21431433671.69 vs 1545075887.52 (diferencia 19886357784.17)
2024_iii_gastos_por_objeto.pdf,2024,III,1/7/2024,30/9/2024,trimestre,4 BIENES DE USO,"credito_vigente vacio, no se puede validar la fila"
2024_iii_gastos_por_objeto.pdf,2024,III,1/7/2024,30/9/2024,trimestre,5 TRANSFERENCIAS,"credito_vigente vacio, no se puede validar la fila"
2024_iii_gastos_por_objeto.pdf,2024,III,1/7/2024,30/9/2024,trimestre,7 SERVICIO DE LA DEUDA Y DISMINUCION DE OTROS PASIVOS,"credito_vigente vacio, no se puede validar la fila"
2025_i_gastos_por_objeto.pdf,2025,I,2/1/2025,31/3/2025,trimestre,7 SERVICIO DE LA DEUDA Y DISMINUCION DE OTROS PASIVOS,devengado > credito_vigente: 14841336372.07 vs 3950000000.00 (diferencia 10891336372.07)
2025_ii_gastos_por_objeto.pdf,2025,II,1/4/2025,30/6/2025,trimestre,1 GASTOS EN PERSONAL,devengado > credito_vigente: 32772229038.18 vs 879800000.00 (diferencia 31892429038.18)
2025_ii_gastos_por_objeto.pdf,2025,II,1/4/2025,30/6/2025,trimestre,2 BIENES DE CONSUMO,devengado > credito_vigente: 6484462007.38 vs 39827516.00 (diferencia 6444634491.38)
2025_ii_gastos_por_objeto.pdf,2025,II,1/4/2025,30/6/2025,trimestre,3 SERVICIOS NO PERSONALES,devengado > credito_vigente: 26651365104.89 vs 229736007.70 (diferencia 26421629097.19)
2025_ii_gastos_por_objeto.pdf,2025,II,1/4/2025,30/6/2025,trimestre,4 BIENES DE USO,devengado > credito_vigente: 11085079076.24 vs 530133030.89 (diferencia 10554946045.35)
2025_ii_gastos_por_objeto.pdf,2025,II,1/4/2025,30/6/2025,trimestre,5 TRANSFERENCIAS,devengado > credito_vigente: 1466214011.11 vs -105175037.43 (diferencia 1571389048.54)
2026_i_gastos_por_objeto.pdf,2026,I,1/1/2026,31/3/2026,trimestre,6 ACTIVOS FINANCIEROS,"credito_vigente vacio, no se puede validar la fila"
2026_ii_gastos_por_objeto.pdf,2026,II,1/4/2026,30/6/2026,trimestre,1 GASTOS EN PERSONAL,devengado > credito_vigente: 25952993895.04 vs 852951200.00 (diferencia 25100042695.04)
