# Linea de base del modelo: la EJECUCION REAL de 2025, no una
# estimacion. Pesos constantes de diciembre de 2025, que para
# el anio base coinciden con los corrientes.
# Los ingresos van por lo PERCIBIDO y los gastos por lo
# DEVENGADO: es la convencion de la cuenta Ahorro-Inversion.
bloque,clave,concepto,monto,pct_del_gasto_total,fuente
ingresos,ingresos_corrientes,I. Ingresos corrientes (percibido),301154665135.71,97.3867,SEF 2025 anual
ingresos,ing_origen_municipal,  de origen municipal,206576541436.91,66.8023,SEF 2025 anual
ingresos,ing_origen_provincial,  de origen provincial,87106739816.65,28.1684,SEF 2025 anual
ingresos,ing_origen_nacional,  de origen nacional,188777970.75,0.0610,SEF 2025 anual
ingresos,ing_otros_origenes,  de otros origenes,7282605911.41,2.3550,SEF 2025 anual
ingresos,recursos_de_capital,IV. Recursos de capital,2030100797.22,0.6565,SEF 2025 anual
ingresos,ingresos_totales,VI. Ingresos totales,303184765932.93,98.0432,SEF 2025 anual
gastos,gastos_corrientes,II. Gastos corrientes (devengado),251403592133.29,81.2983,SEF 2025 anual
gastos,gastos_de_capital,V. Gastos de capital (devengado),57832237847.26,18.7017,SEF 2025 anual
gastos,gastos_totales,VII. Gastos totales,309235829980.55,100.0000,SEF 2025 anual
resultado,ahorro_corriente,III. Ahorro corriente,49751073002.42,16.0884,SEF 2025 anual
resultado,resultado_financiero,VIII. Resultado financiero,-6051064047.62,-1.9568,SEF 2025 anual
financiamiento,fuentes_financieras,IX. Fuentes financieras,21119189472.52,6.8295,SEF 2025 anual
financiamiento,aplicaciones_financieras,X. Aplicaciones financieras,15068125424.90,4.8727,SEF 2025 anual
deuda,stock_deuda,Stock de deuda al 30/12/2025,8960328499.00,2.8976,"formulario Ley 12.462, 2025 IV"
deuda,amortizacion_prox_ejercicio,Amortizacion del ejercicio 1,3388144415.00,1.0957,"formulario Ley 12.462, 2025 IV"
programa,gasto_empleo,Apoyo y promocion al empleo,170314500.62,0.0551,SEF 2025 anual
programa,gasto_vivienda,Infraestructura habitacional,335387189.32,0.1085,SEF 2025 anual
