columna,variable_redatam,categoria,entidad,item_redatam
poblacion_sexo__total,PERSONA.SEXO,(total),persona,FREQPOBPART
poblacion_sexo__mujer_femenino,PERSONA.SEXO,Mujer/Femenino,persona,FREQPOBPART
poblacion_sexo__varon_masculino,PERSONA.SEXO,Varón/Masculino,persona,FREQPOBPART
poblacion_edad__total,PERSONA.EDADGRU,(total),persona,FREQPOBPART
poblacion_edad__hasta_14_anos,PERSONA.EDADGRU,Hasta 14 años,persona,FREQPOBPART
poblacion_edad__15_a_64_anos,PERSONA.EDADGRU,15 a 64 años,persona,FREQPOBPART
poblacion_edad__65_y_mas_anos,PERSONA.EDADGRU,65 y más años,persona,FREQPOBPART
poblacion_edad_quinq__total,PERSONA.EDADQUI,(total),persona,FREQPOBPART
poblacion_edad_quinq__00_a_04,PERSONA.EDADQUI,00 a 04,persona,FREQPOBPART
poblacion_edad_quinq__05_a_09,PERSONA.EDADQUI,05 a 09,persona,FREQPOBPART
poblacion_edad_quinq__10_a_14,PERSONA.EDADQUI,10 a 14,persona,FREQPOBPART
poblacion_edad_quinq__15_a_19,PERSONA.EDADQUI,15 a 19,persona,FREQPOBPART
poblacion_edad_quinq__20_a_24,PERSONA.EDADQUI,20 a 24,persona,FREQPOBPART
poblacion_edad_quinq__25_a_29,PERSONA.EDADQUI,25 a 29,persona,FREQPOBPART
poblacion_edad_quinq__30_a_34,PERSONA.EDADQUI,30 a 34,persona,FREQPOBPART
poblacion_edad_quinq__35_a_39,PERSONA.EDADQUI,35 a 39,persona,FREQPOBPART
poblacion_edad_quinq__40_a_44,PERSONA.EDADQUI,40 a 44,persona,FREQPOBPART
poblacion_edad_quinq__45_a_49,PERSONA.EDADQUI,45 a 49,persona,FREQPOBPART
poblacion_edad_quinq__50_a_54,PERSONA.EDADQUI,50 a 54,persona,FREQPOBPART
poblacion_edad_quinq__55_a_59,PERSONA.EDADQUI,55 a 59,persona,FREQPOBPART
poblacion_edad_quinq__60_a_64,PERSONA.EDADQUI,60 a 64,persona,FREQPOBPART
poblacion_edad_quinq__65_a_69,PERSONA.EDADQUI,65 a 69,persona,FREQPOBPART
poblacion_edad_quinq__70_a_74,PERSONA.EDADQUI,70 a 74,persona,FREQPOBPART
poblacion_edad_quinq__75_a_79,PERSONA.EDADQUI,75 a 79,persona,FREQPOBPART
poblacion_edad_quinq__80_a_84,PERSONA.EDADQUI,80 a 84,persona,FREQPOBPART
poblacion_edad_quinq__85_a_89,PERSONA.EDADQUI,85 a 89,persona,FREQPOBPART
poblacion_edad_quinq__90_a_94,PERSONA.EDADQUI,90 a 94,persona,FREQPOBPART
poblacion_edad_quinq__95_a_99,PERSONA.EDADQUI,95 a 99,persona,FREQPOBPART
poblacion_edad_quinq__100_a_104,PERSONA.EDADQUI,100 a 104,persona,FREQPOBPART
poblacion_edad_quinq__105_y_mas,PERSONA.EDADQUI,105 y más,persona,FREQPOBPART
educacion_mni__total,PERSONA.MNI,(total),persona,FREQPOBPART
educacion_mni__sin_instruccion,PERSONA.MNI,Sin instrucción,persona,FREQPOBPART
educacion_mni__primario_incompleto,PERSONA.MNI,Primario incompleto,persona,FREQPOBPART
educacion_mni__primario_completo,PERSONA.MNI,Primario completo,persona,FREQPOBPART
educacion_mni__secundario_incompleto,PERSONA.MNI,Secundario incompleto,persona,FREQPOBPART
educacion_mni__secundario_completo,PERSONA.MNI,Secundario completo,persona,FREQPOBPART
educacion_mni__terciario_incompleto,PERSONA.MNI,Terciario incompleto,persona,FREQPOBPART
educacion_mni__terciario_completo,PERSONA.MNI,Terciario completo,persona,FREQPOBPART
educacion_mni__universitario_incompleto,PERSONA.MNI,Universitario incompleto,persona,FREQPOBPART
educacion_mni__universitario_completo,PERSONA.MNI,Universitario completo,persona,FREQPOBPART
educacion_mni__posgrado_incompleto,PERSONA.MNI,Posgrado incompleto,persona,FREQPOBPART
educacion_mni__posgrado_completo,PERSONA.MNI,Posgrado completo,persona,FREQPOBPART
educacion_mni__ignorado,PERSONA.MNI,Ignorado,persona,FREQPOBPART
hogares_nbi__total,HOGAR.NBI_TOT,(total),hogar,FREQHOG
hogares_nbi__si,HOGAR.NBI_TOT,Sí,hogar,FREQHOG
hogares_nbi__no,HOGAR.NBI_TOT,No,hogar,FREQHOG
hogares_ipmh__total,HOGAR.IPMH,(total),hogar,FREQHOG
hogares_ipmh__sin_privacion,HOGAR.IPMH,Sin privación,hogar,FREQHOG
hogares_ipmh__privacion_solo_de_recursos_corrientes,HOGAR.IPMH,Privación solo de recursos corrientes,hogar,FREQHOG
hogares_ipmh__privacion_solo_de_recursos_patrimoniales,HOGAR.IPMH,Privación solo de recursos patrimoniales,hogar,FREQHOG
hogares_ipmh__privacion_convergente,HOGAR.IPMH,Privación convergente,hogar,FREQHOG
hogares_hacinamiento__total,HOGAR.HACINA,(total),hogar,FREQHOG
hogares_hacinamiento__hasta_0_50_personas_por_cuarto,HOGAR.HACINA,"Hasta 0,50 personas por cuarto",hogar,FREQHOG
hogares_hacinamiento__0_51_0_99_personas_por_cuarto,HOGAR.HACINA,"0,51-0,99 personas por cuarto",hogar,FREQHOG
hogares_hacinamiento__1_00_1_49_personas_por_cuarto,HOGAR.HACINA,"1,00-1,49 personas por cuarto",hogar,FREQHOG
hogares_hacinamiento__1_50_1_99_personas_por_cuarto,HOGAR.HACINA,"1,50-1,99 personas por cuarto",hogar,FREQHOG
hogares_hacinamiento__2_00_3_00_personas_por_cuarto,HOGAR.HACINA,"2,00-3,00 personas por cuarto",hogar,FREQHOG
hogares_hacinamiento__mas_de_3_00_personas_por_cuarto,HOGAR.HACINA,"Más de 3,00 personas por cuarto",hogar,FREQHOG
hogares_tenencia__total,HOGAR.REGTEN,(total),hogar,FREQHOG
hogares_tenencia__propia,HOGAR.REGTEN,Propia,hogar,FREQHOG
hogares_tenencia__alquilada,HOGAR.REGTEN,Alquilada,hogar,FREQHOG
hogares_tenencia__cedida_por_trabajo,HOGAR.REGTEN,Cedida por trabajo,hogar,FREQHOG
hogares_tenencia__prestada,HOGAR.REGTEN,Prestada,hogar,FREQHOG
hogares_tenencia__otra_situacion,HOGAR.REGTEN,Otra situación,hogar,FREQHOG
hogares_agua__total,HOGAR.AGUAORIG,(total),hogar,FREQHOG
hogares_agua__red_publica_agua_corriente,HOGAR.AGUAORIG,Red pública (agua corriente),hogar,FREQHOG
hogares_agua__perforacion_con_bomba_a_motor,HOGAR.AGUAORIG,Perforación con bomba a motor,hogar,FREQHOG
hogares_agua__otra_procedencia,HOGAR.AGUAORIG,Otra procedencia,hogar,FREQHOG
hogares_agua__perforacion_con_bomba_manual,HOGAR.AGUAORIG,Perforación con bomba manual,hogar,FREQHOG
hogares_agua__pozo_sin_bomba,HOGAR.AGUAORIG,Pozo sin bomba,hogar,FREQHOG
hogares_agua__transporte_por_cisterna_agua_de_lluvia_rio_c,HOGAR.AGUAORIG,"Transporte por cisterna, agua de lluvia, río, canal, arroyo o acequia",hogar,FREQHOG
hogares_agua_dist__total,HOGAR.AGUADIST,(total),hogar,FREQHOG
hogares_agua_dist__por_caneria_dentro_de_la_vivienda,HOGAR.AGUADIST,Por cañería dentro de la vivienda,hogar,FREQHOG
hogares_agua_dist__fuera_de_la_vivienda_pero_dentro_del_terreno,HOGAR.AGUADIST,"Fuera de la vivienda, pero dentro del terreno",hogar,FREQHOG
hogares_agua_dist__fuera_del_terreno,HOGAR.AGUADIST,Fuera del terreno,hogar,FREQHOG
hogares_desague__total,HOGAR.DESAGUE,(total),hogar,FREQHOG
hogares_desague__a_red_publica_cloaca,HOGAR.DESAGUE,A red pública (cloaca),hogar,FREQHOG
hogares_desague__a_camara_septica_y_pozo_ciego,HOGAR.DESAGUE,A cámara séptica y pozo ciego,hogar,FREQHOG
hogares_desague__solo_a_pozo_ciego,HOGAR.DESAGUE,Sólo a pozo ciego,hogar,FREQHOG
hogares_desague__a_hoyo_excavacion_en_la_tierra_etc,HOGAR.DESAGUE,"A hoyo, excavación en la tierra, etc.",hogar,FREQHOG
hogares_desague__no_aplica,HOGAR.DESAGUE,No Aplica :,hogar,FREQHOG
hogares_combustible__total,HOGAR.COMBUS,(total),hogar,FREQHOG
hogares_combustible__electricidad,HOGAR.COMBUS,Electricidad,hogar,FREQHOG
hogares_combustible__gas_de_red,HOGAR.COMBUS,Gas de red,hogar,FREQHOG
hogares_combustible__gas_en_garrafa,HOGAR.COMBUS,Gas en garrafa,hogar,FREQHOG
hogares_combustible__gas_en_tubo_o_a_granel_zeppelin,HOGAR.COMBUS,Gas en tubo o a granel (zeppelin),hogar,FREQHOG
hogares_combustible__lena_o_carbon,HOGAR.COMBUS,Leña o carbón,hogar,FREQHOG
hogares_combustible__otro_combustible,HOGAR.COMBUS,Otro combustible,hogar,FREQHOG
viviendas_tipo__total,VIVIENDA.TIPOVIV,(total),vivienda,FREQVIVPART
viviendas_tipo__casa,VIVIENDA.TIPOVIV,Casa,vivienda,FREQVIVPART
viviendas_tipo__rancho,VIVIENDA.TIPOVIV,Rancho,vivienda,FREQVIVPART
viviendas_tipo__departamento,VIVIENDA.TIPOVIV,Departamento,vivienda,FREQVIVPART
viviendas_tipo__vivienda_movil_ocupada_casa_rodante_barco_ca,VIVIENDA.TIPOVIV,"Vivienda móvil ocupada (casa rodante, barco, carpa u otra)",vivienda,FREQVIVPART
viviendas_tipo__casilla,VIVIENDA.TIPOVIV,Casilla,vivienda,FREQVIVPART
viviendas_tipo__pieza_en_inquilinato_hotel_familiar_o_pensio,VIVIENDA.TIPOVIV,"Pieza en inquilinato, hotel familiar o pensión",vivienda,FREQVIVPART
viviendas_tipo__local_no_construido_para_habitacion_ocupado,VIVIENDA.TIPOVIV,Local no construido para habitación ocupado,vivienda,FREQVIVPART
viviendas_localidad__total,VIVIENDA.CODLOC,(total),vivienda,FREQVIVPART
viviendas_localidad__san_isidro,VIVIENDA.CODLOC,San Isidro,vivienda,FREQVIVPART
