radio_id,nivel_geografico,prov,depto,partido,poblacion_sexo__total,poblacion_sexo__mujer_femenino,poblacion_sexo__varon_masculino,poblacion_edad__total,poblacion_edad__hasta_14_anos,poblacion_edad__15_a_64_anos,poblacion_edad__65_y_mas_anos,poblacion_edad_quinq__total,poblacion_edad_quinq__00_a_04,poblacion_edad_quinq__05_a_09,poblacion_edad_quinq__10_a_14,poblacion_edad_quinq__15_a_19,poblacion_edad_quinq__20_a_24,poblacion_edad_quinq__25_a_29,poblacion_edad_quinq__30_a_34,poblacion_edad_quinq__35_a_39,poblacion_edad_quinq__40_a_44,poblacion_edad_quinq__45_a_49,poblacion_edad_quinq__50_a_54,poblacion_edad_quinq__55_a_59,poblacion_edad_quinq__60_a_64,poblacion_edad_quinq__65_a_69,poblacion_edad_quinq__70_a_74,poblacion_edad_quinq__75_a_79,poblacion_edad_quinq__80_a_84,poblacion_edad_quinq__85_a_89,poblacion_edad_quinq__90_a_94,poblacion_edad_quinq__95_a_99,poblacion_edad_quinq__100_a_104,poblacion_edad_quinq__105_y_mas,educacion_mni__total,educacion_mni__sin_instruccion,educacion_mni__primario_incompleto,educacion_mni__primario_completo,educacion_mni__secundario_incompleto,educacion_mni__secundario_completo,educacion_mni__terciario_incompleto,educacion_mni__terciario_completo,educacion_mni__universitario_incompleto,educacion_mni__universitario_completo,educacion_mni__posgrado_incompleto,educacion_mni__posgrado_completo,educacion_mni__ignorado,hogares_nbi__total,hogares_nbi__si,hogares_nbi__no,hogares_ipmh__total,hogares_ipmh__sin_privacion,hogares_ipmh__privacion_solo_de_recursos_corrientes,hogares_ipmh__privacion_solo_de_recursos_patrimoniales,hogares_ipmh__privacion_convergente,hogares_hacinamiento__total,hogares_hacinamiento__hasta_0_50_personas_por_cuarto,hogares_hacinamiento__0_51_0_99_personas_por_cuarto,hogares_hacinamiento__1_00_1_49_personas_por_cuarto,hogares_hacinamiento__1_50_1_99_personas_por_cuarto,hogares_hacinamiento__2_00_3_00_personas_por_cuarto,hogares_hacinamiento__mas_de_3_00_personas_por_cuarto,hogares_tenencia__total,hogares_tenencia__propia,hogares_tenencia__alquilada,hogares_tenencia__cedida_por_trabajo,hogares_tenencia__prestada,hogares_tenencia__otra_situacion,hogares_agua__total,hogares_agua__red_publica_agua_corriente,hogares_agua__perforacion_con_bomba_a_motor,hogares_agua__otra_procedencia,hogares_agua__perforacion_con_bomba_manual,hogares_agua__pozo_sin_bomba,hogares_agua__transporte_por_cisterna_agua_de_lluvia_rio_c,hogares_agua_dist__total,hogares_agua_dist__por_caneria_dentro_de_la_vivienda,hogares_agua_dist__fuera_de_la_vivienda_pero_dentro_del_terreno,hogares_agua_dist__fuera_del_terreno,hogares_desague__total,hogares_desague__a_red_publica_cloaca,hogares_desague__a_camara_septica_y_pozo_ciego,hogares_desague__solo_a_pozo_ciego,hogares_desague__a_hoyo_excavacion_en_la_tierra_etc,hogares_desague__no_aplica,hogares_combustible__total,hogares_combustible__electricidad,hogares_combustible__gas_de_red,hogares_combustible__gas_en_garrafa,hogares_combustible__gas_en_tubo_o_a_granel_zeppelin,hogares_combustible__lena_o_carbon,hogares_combustible__otro_combustible,viviendas_tipo__total,viviendas_tipo__casa,viviendas_tipo__rancho,viviendas_tipo__departamento,viviendas_tipo__vivienda_movil_ocupada_casa_rodante_barco_ca,viviendas_tipo__casilla,viviendas_tipo__pieza_en_inquilinato_hotel_familiar_o_pensio,viviendas_tipo__local_no_construido_para_habitacion_ocupado,viviendas_localidad__total,viviendas_localidad__san_isidro,fuente,fecha_descarga
067560101,radio,06,756,SAN ISIDRO,653,341,312,653,136,418,99,653,41,47,48,38,58,36,30,40,49,33,43,44,47,28,22,15,20,8,3,2,1,0,653,83,58,14,76,70,36,70,73,119,13,41,0,252,10,242,252,206,19,16,11,252,107,70,60,4,10,1,252,158,64,4,17,9,252,248,3,1,0,0,0,252,248,4,0,249,213,29,4,3,3,252,34,197,21,0,0,0,294,115,8,167,4,0,0,0,294,294,"INDEC, Censo Nacional de Poblacion, Hogares y Viviendas 2022, procesado con Redatam 7",2026-09-06
067560102,radio,06,756,SAN ISIDRO,469,251,218,469,90,299,80,469,17,35,38,50,39,14,11,25,35,35,33,27,30,18,20,24,14,1,3,0,0,0,469,31,54,3,68,43,10,32,64,103,14,43,4,163,2,161,163,147,14,1,1,163,102,37,20,2,2,0,163,104,38,0,12,9,163,162,0,0,1,0,0,163,163,0,0,163,161,1,1,0,0,163,32,127,4,0,0,0,205,165,0,38,1,1,0,0,205,205,"INDEC, Censo Nacional de Poblacion, Hogares y Viviendas 2022, procesado con Redatam 7",2026-09-06
067560103,radio,06,756,SAN ISIDRO,709,375,334,709,123,502,84,709,31,43,49,53,77,55,30,30,41,43,46,59,68,26,26,19,9,2,2,0,0,0,709,55,69,26,93,66,31,44,93,141,12,73,6,225,12,213,225,176,16,20,13,225,98,53,40,13,17,4,225,174,34,0,5,12,225,219,3,1,0,2,0,225,214,10,1,219,209,10,0,0,6,225,26,151,48,0,0,0,247,234,1,7,1,4,0,0,247,247,"INDEC, Censo Nacional de Poblacion, Hogares y Viviendas 2022, procesado con Redatam 7",2026-09-06
067560104,radio,06,756,SAN ISIDRO,1092,585,507,1092,212,685,195,1092,52,83,77,86,87,49,46,42,76,76,80,71,72,65,49,44,17,13,5,2,0,0,1092,98,104,36,149,108,48,109,139,215,13,69,4,375,7,368,375,319,33,15,8,375,179,99,75,11,9,2,375,291,51,6,13,14,375,370,4,1,0,0,0,375,373,1,1,374,334,33,7,0,1,375,47,293,35,0,0,0,477,464,3,6,0,3,1,0,477,477,"INDEC, Censo Nacional de Poblacion, Hogares y Viviendas 2022, procesado con Redatam 7",2026-09-06
067560105,radio,06,756,SAN ISIDRO,1172,611,561,1172,188,761,223,1172,47,66,75,83,103,62,53,52,74,73,89,84,88,65,47,46,34,20,9,2,0,0,1172,69,99,61,181,165,59,115,165,175,11,64,8,404,8,396,404,352,41,8,3,404,163,113,95,20,12,1,404,316,45,2,21,20,404,399,3,2,0,0,0,404,403,1,0,404,392,9,3,0,0,404,38,340,26,0,0,0,411,394,0,12,0,1,4,0,411,411,"INDEC, Censo Nacional de Poblacion, Hogares y Viviendas 2022, procesado con Redatam 7",2026-09-06
067560106,radio,06,756,SAN ISIDRO,1054,551,503,1054,166,671,217,1054,35,46,85,78,78,64,47,67,66,75,65,55,76,60,54,47,21,18,13,4,0,0,1054,55,89,25,139,119,33,93,164,230,21,80,6,413,7,406,413,378,29,5,1,413,210,99,91,6,5,2,413,286,86,4,22,15,413,410,3,0,0,0,0,413,413,0,0,413,410,2,1,0,0,413,59,350,3,1,0,0,465,284,0,179,0,0,1,1,465,465,"INDEC, Censo Nacional de Poblacion, Hogares y Viviendas 2022, procesado con Redatam 7",2026-09-06
067560107,radio,06,756,SAN ISIDRO,858,453,405,858,131,532,195,858,35,46,50,57,64,45,45,38,49,57,59,53,65,52,59,37,27,10,7,3,0,0,858,50,62,17,94,117,38,76,125,192,13,71,3,296,1,295,296,269,22,4,1,296,148,84,51,8,5,0,296,244,29,1,11,11,296,292,2,1,0,0,1,296,296,0,0,296,295,1,0,0,0,296,38,253,5,0,0,0,337,325,1,11,0,0,0,0,337,337,"INDEC, Censo Nacional de Poblacion, Hogares y Viviendas 2022, procesado con Redatam 7",2026-09-06
067560108,radio,06,756,SAN ISIDRO,750,389,361,750,122,453,175,750,35,46,41,42,60,47,34,35,45,49,41,54,46,43,43,41,20,19,8,1,0,0,750,50,59,27,79,95,23,75,113,158,11,56,4,270,0,270,270,249,19,2,0,270,144,67,43,10,6,0,270,204,52,0,8,6,270,268,1,0,0,0,1,270,270,0,0,270,267,2,1,0,0,270,29,238,3,0,0,0,323,269,2,52,0,0,0,0,323,323,"INDEC, Censo Nacional de Poblacion, Hogares y Viviendas 2022, procesado con Redatam 7",2026-09-06
067560109,radio,06,756,SAN ISIDRO,621,348,273,621,87,402,132,621,26,32,29,22,23,45,66,56,54,40,35,28,33,23,28,29,20,18,7,6,1,0,621,39,44,26,62,84,30,75,86,111,17,39,8,328,10,318,328,299,25,3,1,328,150,61,96,10,9,2,328,144,161,4,13,6,328,325,1,2,0,0,0,328,328,0,0,327,321,5,1,0,1,328,112,210,6,0,0,0,377,43,4,326,0,1,0,3,377,377,"INDEC, Censo Nacional de Poblacion, Hogares y Viviendas 2022, procesado con Redatam 7",2026-09-06
067560110,radio,06,756,SAN ISIDRO,854,437,417,854,147,538,169,854,39,58,50,53,74,49,46,40,58,55,49,54,60,39,42,41,25,11,8,3,0,0,854,60,76,37,110,125,37,85,124,143,13,40,4,297,8,289,297,257,11,25,4,297,116,72,72,21,13,3,297,216,47,2,15,17,297,295,1,0,0,1,0,297,296,1,0,297,257,29,11,0,0,297,45,230,18,2,1,1,316,277,0,30,0,3,1,5,316,316,"INDEC, Censo Nacional de Poblacion, Hogares y Viviendas 2022, procesado con Redatam 7",2026-09-06
