anio,meses,municipio,transferido,total_135_municipios,participacion_pct,fuente
2021,12,SAN ISIDRO,5070387205,261654204525,1.9378,01_raw/transferencias_pba/*Transferencias*.xlsx
2021,12,TIGRE,4251001350,261654204525,1.6247,01_raw/transferencias_pba/*Transferencias*.xlsx
2021,12,VICENTE LOPEZ,4399696236,261654204525,1.6815,01_raw/transferencias_pba/*Transferencias*.xlsx
2021,12,SAN FERNANDO,2087174091,261654204525,0.7977,01_raw/transferencias_pba/*Transferencias*.xlsx
2022,12,SAN ISIDRO,9540694974,481510507657,1.9814,01_raw/transferencias_pba/*Transferencias*.xlsx
2022,12,TIGRE,8244329362,481510507657,1.7122,01_raw/transferencias_pba/*Transferencias*.xlsx
2022,12,VICENTE LOPEZ,7626506705,481510507657,1.5839,01_raw/transferencias_pba/*Transferencias*.xlsx
2022,12,SAN FERNANDO,4131124223,481510507657,0.8580,01_raw/transferencias_pba/*Transferencias*.xlsx
2023,12,SAN ISIDRO,20191353077,1049342037645,1.9242,01_raw/transferencias_pba/*Transferencias*.xlsx
2023,12,TIGRE,18395987564,1049342037645,1.7531,01_raw/transferencias_pba/*Transferencias*.xlsx
2023,12,VICENTE LOPEZ,16474651061,1049342037645,1.5700,01_raw/transferencias_pba/*Transferencias*.xlsx
2023,12,SAN FERNANDO,9500997428,1049342037645,0.9054,01_raw/transferencias_pba/*Transferencias*.xlsx
2024,12,SAN ISIDRO,62713356161,3337288136173,1.8792,01_raw/transferencias_pba/*Transferencias*.xlsx
2024,12,TIGRE,60503092396,3337288136173,1.8129,01_raw/transferencias_pba/*Transferencias*.xlsx
2024,12,VICENTE LOPEZ,50416218840,3337288136173,1.5107,01_raw/transferencias_pba/*Transferencias*.xlsx
2024,12,SAN FERNANDO,30285186211,3337288136173,0.9075,01_raw/transferencias_pba/*Transferencias*.xlsx
2025,12,SAN ISIDRO,82268424085,4639756001223,1.7731,01_raw/transferencias_pba/*Transferencias*.xlsx
2025,12,TIGRE,85024983072,4639756001223,1.8325,01_raw/transferencias_pba/*Transferencias*.xlsx
2025,12,VICENTE LOPEZ,68279369039,4639756001223,1.4716,01_raw/transferencias_pba/*Transferencias*.xlsx
2025,12,SAN FERNANDO,41658942395,4639756001223,0.8979,01_raw/transferencias_pba/*Transferencias*.xlsx
2026,6,SAN ISIDRO,46718899862,2778995313925,1.6811,01_raw/transferencias_pba/*Transferencias*.xlsx
2026,6,TIGRE,51049211316,2778995313925,1.8370,01_raw/transferencias_pba/*Transferencias*.xlsx
2026,6,VICENTE LOPEZ,39261266724,2778995313925,1.4128,01_raw/transferencias_pba/*Transferencias*.xlsx
2026,6,SAN FERNANDO,25274177698,2778995313925,0.9095,01_raw/transferencias_pba/*Transferencias*.xlsx
