anio,meses_usados,cobertura,ipc_promedio_anual,ipc_diciembre,coef_anual,coef_diciembre,base,serie_origen
2010,12,completo,18.8551,20.7933,536.79822939,486.76119231,diciembre 2025 = 100,IPC San Luis nivel general
2011,12,completo,23.3548,25.6331,433.37416669,394.85553835,diciembre 2025 = 100,IPC San Luis nivel general
2012,12,completo,28.8876,31.5303,350.37108754,321.00460509,diciembre 2025 = 100,IPC San Luis nivel general
2013,12,completo,36.3588,41.6022,278.37489741,243.28933326,diciembre 2025 = 100,IPC San Luis nivel general
2014,12,completo,51.8776,57.8305,195.10107668,175.01787984,diciembre 2025 = 100,IPC San Luis nivel general
2015,12,completo,65.6617,76.0870,154.14421375,133.02366370,diciembre 2025 = 100,IPC San Luis nivel general
2016,12,completo,91.2134,100.0000,110.96363183,101.21371500,diciembre 2025 = 100,IPC INDEC nacional nivel general + IPC San Luis nivel general
2017,12,completo,112.9413,124.7956,89.61622996,81.10359259,diciembre 2025 = 100,IPC INDEC nacional nivel general
2018,12,completo,151.7035,184.2552,66.71812642,54.93126653,diciembre 2025 = 100,IPC INDEC nacional nivel general
2019,12,completo,232.9524,283.4442,43.44823107,35.70851512,diciembre 2025 = 100,IPC INDEC nacional nivel general
2020,12,completo,330.6569,385.8826,30.60988824,26.22914716,diciembre 2025 = 100,IPC INDEC nacional nivel general
2021,12,completo,490.9922,582.4575,20.61411810,17.37701292,diciembre 2025 = 100,IPC INDEC nacional nivel general
2022,12,completo,847.1393,1134.5875,11.94770648,8.92075005,diciembre 2025 = 100,IPC INDEC nacional nivel general
2023,12,completo,1979.5250,3533.1922,5.11303032,2.86465353,diciembre 2025 = 100,IPC INDEC nacional nivel general
2024,12,completo,6321.7284,7694.0075,1.60104499,1.31548761,diciembre 2025 = 100,IPC INDEC nacional nivel general
2025,12,completo,8971.4749,10121.3715,1.12817252,1.00000000,diciembre 2025 = 100,IPC INDEC nacional nivel general
2026,7,parcial,11302.2867,,0.89551537,,diciembre 2025 = 100,IPC INDEC nacional nivel general
