anio,trimestre,fecha_corte,codigo,concepto,saldo,amortiz_ej1,intereses_ej1,amortiz_ej2,intereses_ej2,amortiz_ej3,intereses_ej3,amortiz_resto,intereses_resto,deuda_vencida_impaga,fuente,coef_deflactor,base_coef,monto_constante_dic2025,saldo_const_dic2025,amortiz_ej1_const_dic2025,intereses_ej1_const_dic2025,amortiz_ej2_const_dic2025,intereses_ej2_const_dic2025,amortiz_ej3_const_dic2025,intereses_ej3_const_dic2025,amortiz_resto_const_dic2025,intereses_resto_const_dic2025,deuda_vencida_impaga_const_dic2025
2024,I,31/3/2024,1,DEUDA CONSOLIDADA,1407841940.00,1394054543.00,,,,,,,,,2024_i_stock_de_deuda.pdf,1.88934030,"stock al 31/3/2024, indice de 2024-03",2659892513.27,2659892513.27,2633843428.49,,,,,,,,
2024,I,31/3/2024,1.1,ORGANISMOS PUBLICOS PROVINCIALES,1229585785.00,1229585785.00,,,,,,,,,2024_i_stock_de_deuda.pdf,1.88934030,"stock al 31/3/2024, indice de 2024-03",2323105975.91,2323105975.91,2323105975.91,,,,,,,,
2024,I,31/3/2024,1.1.1,TESORO PROVINCIAL,237157017.00,237157017.00,,,,,,,,,2024_i_stock_de_deuda.pdf,1.88934030,"stock al 31/3/2024, indice de 2024-03",448070309.65,448070309.65,448070309.65,,,,,,,,
2024,I,31/3/2024,1.1.3,I.P.S. (**),707413470.00,707413470.00,,,,,,,,,2024_i_stock_de_deuda.pdf,1.88934030,"stock al 31/3/2024, indice de 2024-03",1336544777.63,1336544777.63,1336544777.63,,,,,,,,
2024,I,31/3/2024,1.1.4,I.O.M.A.(**),285015299.00,285015299.00,,,,,,,,,2024_i_stock_de_deuda.pdf,1.88934030,"stock al 31/3/2024, indice de 2024-03",538490890.52,538490890.52,538490890.52,,,,,,,,
2024,I,31/3/2024,1.2,ORGANISMOS PUBLICOS NACIONALES,0.00,0.00,,,,,,,,,2024_i_stock_de_deuda.pdf,1.88934030,"stock al 31/3/2024, indice de 2024-03",0.00,0.00,0.00,,,,,,,,
2024,I,31/3/2024,1.3,BANCOS,0.00,0.00,,,,,,,,,2024_i_stock_de_deuda.pdf,1.88934030,"stock al 31/3/2024, indice de 2024-03",0.00,0.00,0.00,,,,,,,,
2024,I,31/3/2024,1.4,EMPRESAS,164468758.00,164468758.00,,,,,,,,,2024_i_stock_de_deuda.pdf,1.88934030,"stock al 31/3/2024, indice de 2024-03",310737452.58,310737452.58,310737452.58,,,,,,,,
2024,I,31/3/2024,1.4.2,PROVEEDORES (CEAMSE) (***),164468758.00,164468758.00,,,,,,,,,2024_i_stock_de_deuda.pdf,1.88934030,"stock al 31/3/2024, indice de 2024-03",310737452.58,310737452.58,310737452.58,,,,,,,,
2024,I,31/3/2024,1.5,"TITULOS, BONOS, ETC",0.00,0.00,,,,,,,,,2024_i_stock_de_deuda.pdf,1.88934030,"stock al 31/3/2024, indice de 2024-03",0.00,0.00,0.00,,,,,,,,
2024,I,31/3/2024,1.6,OTRAS DEUDAS,13787397.00,0.00,,,,,,,,,2024_i_stock_de_deuda.pdf,1.88934030,"stock al 31/3/2024, indice de 2024-03",26049084.78,26049084.78,0.00,,,,,,,,
2024,I,31/3/2024,2,Saldo de Deuda Flotante,2778693322.00,,,,,,,,,,2024_i_stock_de_deuda.pdf,1.88934030,"stock al 31/3/2024, indice de 2024-03",5249897274.60,5249897274.60,,,,,,,,,
2024,II,30/6/2024,1,DEUDA CONSOLIDADA,1978298656.00,1971442207.00,,,,,,,,,2024_ii_stock_de_deuda_0.pdf,1.59348640,"stock al 30/6/2024, indice de 2024-06",3152392003.47,3152392003.47,3141466345.24,,,,,,,,
2024,II,30/6/2024,1.1,ORGANISMOS PUBLICOS PROVINCIALES,1698977846.00,1698977846.00,,,,,,,,,2024_ii_stock_de_deuda_0.pdf,1.59348640,"stock al 30/6/2024, indice de 2024-06",2707298091.50,2707298091.50,2707298091.50,,,,,,,,
2024,II,30/6/2024,1.1.1,TESORO PROVINCIAL,237157017.00,237157017.00,,,,,,,,,2024_ii_stock_de_deuda_0.pdf,1.59348640,"stock al 30/6/2024, indice de 2024-06",377906481.25,377906481.25,377906481.25,,,,,,,,
2024,II,30/6/2024,1.1.3,I.P.S. (**),1064595610.00,1064595610.00,,,,,,,,,2024_ii_stock_de_deuda_0.pdf,1.59348640,"stock al 30/6/2024, indice de 2024-06",1696418626.03,1696418626.03,1696418626.03,,,,,,,,
2024,II,30/6/2024,1.1.4,I.O.M.A.(**),397225219.00,397225219.00,,,,,,,,,2024_ii_stock_de_deuda_0.pdf,1.59348640,"stock al 30/6/2024, indice de 2024-06",632972984.21,632972984.21,632972984.21,,,,,,,,
