anio,trimestre,periodo_desde,periodo_hasta,periodo_tipo,nivel,finalidad_codigo,finalidad,funcion_codigo,funcion,credito_aprobado,modificaciones,credito_vigente,devengado,pagado,fuente,coef_deflactor,base_coef,monto_constante_dic2025,credito_aprobado_const_dic2025,modificaciones_const_dic2025,credito_vigente_const_dic2025,devengado_const_dic2025,pagado_const_dic2025
2024,I,2/1/2024,31/3/2024,trimestre,funcion,1,ADMINISTRACION GUBERNAMENTAL,1.1,LEGISLATIVA,3118199094.00,,3118199094.00,580211048.08,548113707.03,2024_i_gastos_por_fyf.pdf,2.09956127,2/1/2024 a 31/3/2024 (trimestre) promedio ponderado por dias | 2024-01:30d 2024-02:29d 2024-03:31d,1218188644.97,6546850049.91,,6546850049.91,1218188644.97,1150798310.84
2024,I,2/1/2024,31/3/2024,trimestre,funcion,1,ADMINISTRACION GUBERNAMENTAL,1.3,DIRECCION SUPERIOR EJECUTIVA,21132513701.72,7383834.16,21139897535.88,3641799485.66,3198150576.30,2024_i_gastos_por_fyf.pdf,2.09956127,2/1/2024 a 31/3/2024 (trimestre) promedio ponderado por dias | 2024-01:30d 2024-02:29d 2024-03:31d,7646181153.20,44369007305.88,15502812.23,44384510118.10,7646181153.20,6714713085.63
2024,I,2/1/2024,31/3/2024,trimestre,finalidad,1,ADMINISTRACION GUBERNAMENTAL,,,24250712795.72,7383834.16,24258096629.88,4222010533.74,3746264283.33,2024_i_gastos_por_fyf.pdf,2.09956127,2/1/2024 a 31/3/2024 (trimestre) promedio ponderado por dias | 2024-01:30d 2024-02:29d 2024-03:31d,8864369798.17,50915857355.79,15502812.23,50931360168.01,8864369798.17,7865511396.46
2024,I,2/1/2024,31/3/2024,trimestre,funcion,2,SERVICIOS DE SEGURIDAD,2.1,SEGURIDAD INTERNA,14004923210.15,16454904.11,14021378114.26,2144507194.92,1924382297.55,2024_i_gastos_por_fyf.pdf,2.09956127,2/1/2024 a 31/3/2024 (trimestre) promedio ponderado por dias | 2024-01:30d 2024-02:29d 2024-03:31d,4502524249.69,29404194361.36,34548079.37,29438742440.73,4502524249.69,4040358540.61
2024,I,2/1/2024,31/3/2024,trimestre,finalidad,2,SERVICIOS DE SEGURIDAD,,,14004923210.15,16454904.11,14021378114.26,2144507194.92,1924382297.55,2024_i_gastos_por_fyf.pdf,2.09956127,2/1/2024 a 31/3/2024 (trimestre) promedio ponderado por dias | 2024-01:30d 2024-02:29d 2024-03:31d,4502524249.69,29404194361.36,34548079.37,29438742440.73,4502524249.69,4040358540.61
2024,I,2/1/2024,31/3/2024,trimestre,funcion,3,SERVICIOS SOCIALES,3.1,SALUD,43232957354.74,245459254.26,43478416609.00,6316720952.17,5550792928.62,2024_i_gastos_por_fyf.pdf,2.09956127,2/1/2024 a 31/3/2024 (trimestre) promedio ponderado por dias | 2024-01:30d 2024-02:29d 2024-03:31d,13262342664.57,90770242849.57,515356743.61,91285599593.18,13262342664.57,11654229850.72
2024,I,2/1/2024,31/3/2024,trimestre,funcion,3,SERVICIOS SOCIALES,3.2,PROMOCION Y ASISTENCIA SOCIAL,4450798816.98,57260766.54,4508059583.52,590148101.19,543533925.65,2024_i_gastos_por_fyf.pdf,2.09956127,2/1/2024 a 31/3/2024 (trimestre) promedio ponderado por dias | 2024-01:30d 2024-02:29d 2024-03:31d,1239052096.82,9344724816.69,120222487.72,9464947304.41,1239052096.82,1141182779.23
2024,I,2/1/2024,31/3/2024,trimestre,funcion,3,SERVICIOS SOCIALES,3.4,EDUCACION Y CULTURAL,7501647084.53,146905314.76,7648552399.29,1779429483.45,1576859451.86,2024_i_gastos_por_fyf.pdf,2.09956127,2/1/2024 a 31/3/2024 (trimestre) promedio ponderado por dias | 2024-01:30d 2024-02:29d 2024-03:31d,3736021226.15,15750167679.89,308436709.23,16058604389.11,3736021226.15,3310713033.36
2024,I,2/1/2024,31/3/2024,trimestre,funcion,3,SERVICIOS SOCIALES,3.7,VIVIENDA,681779851.87,15743491.27,697523343.14,25751745.77,8718216.42,2024_i_gastos_por_fyf.pdf,2.09956127,2/1/2024 a 31/3/2024 (trimestre) promedio ponderado por dias | 2024-01:30d 2024-02:29d 2024-03:31d,54067368.05,1431438571.65,33054424.53,1464492996.18,54067368.05,18304429.54
2024,I,2/1/2024,31/3/2024,trimestre,funcion,3,SERVICIOS SOCIALES,3.8,AGUA POTABLE Y ALCANTARILLADO,662046800.00,,662046800.00,9230220.19,9230220.19,2024_i_gastos_por_fyf.pdf,2.09956127,2/1/2024 a 31/3/2024 (trimestre) promedio ponderado por dias | 2024-01:30d 2024-02:29d 2024-03:31d,19379412.82,1390007820.21,,1390007820.21,19379412.82,19379412.82
2024,I,2/1/2024,31/3/2024,trimestre,funcion,3,SERVICIOS SOCIALES,3.9,URBANISMO,51768373890.46,157838488.53,51926212378.99,5790915226.31,4765912458.92,2024_i_gastos_por_fyf.pdf,2.09956127,2/1/2024 a 31/3/2024 (trimestre) promedio ponderado por dias | 2024-01:30d 2024-02:29d 2024-03:31d,12158381327.01,108690872831.29,331391577.43,109022264408.72,12158381327.01,10006325214.96
2024,I,2/1/2024,31/3/2024,trimestre,finalidad,3,SERVICIOS SOCIALES,,,108297603798.58,623207315.36,108920811113.94,14512195729.08,12455047201.66,2024_i_gastos_por_fyf.pdf,2.09956127,2/1/2024 a 31/3/2024 (trimestre) promedio ponderado por dias | 2024-01:30d 2024-02:29d 2024-03:31d,30469244095.44,227377454569.30,1308461942.51,228685916511.81,30469244095.44,26150134720.63
2024,I,2/1/2024,31/3/2024,trimestre,funcion,4,SERVICIOS ECONOMICOS,4.3,TRANSPORTE,1769528667.95,,1769528667.95,272791601.35,249616432.10,2024_i_gastos_por_fyf.pdf,2.09956127,2/1/2024 a 31/3/2024 (trimestre) promedio ponderado por dias | 2024-01:30d 2024-02:29d 2024-03:31d,572742680.98,3715233857.38,,3715233857.38,572742680.98,524084993.19
2024,I,2/1/2024,31/3/2024,trimestre,funcion,4,SERVICIOS ECONOMICOS,4.4,ECOLOGIA Y MEDIO AMBIENTE,770120959.00,80540463.76,850661422.76,25000.00,25000.00,2024_i_gastos_por_fyf.pdf,2.09956127,2/1/2024 a 31/3/2024 (trimestre) promedio ponderado por dias | 2024-01:30d 2024-02:29d 2024-03:31d,52489.03,1616916138.73,169099638.38,1786015777.11,52489.03,52489.03
2024,I,2/1/2024,31/3/2024,trimestre,funcion,4,SERVICIOS ECONOMICOS,4.5,AGRICULTURA,133132048.00,,133132048.00,27013466.61,25694594.99,2024_i_gastos_por_fyf.pdf,2.09956127,2/1/2024 a 31/3/2024 (trimestre) promedio ponderado por dias | 2024-01:30d 2024-02:29d 2024-03:31d,56716428.26,279518891.78,,279518891.78,56716428.26,53947376.49
