anio,concepto,presupuestado,ejecutado,diferencia,diferencia_pct,fuente_presupuesto,fuente_rendicion,nota,coef_deflactor,base_coef,monto_constante_dic2025,presupuestado_const_dic2025,ejecutado_const_dic2025,diferencia_const_dic2025
2011,total_gastos,630554400.00,796736310.85,166181910.85,26.35,presupuesto2011.pdf,rendicionctas20111.pdf,,433.37416669,"anual 2011, promedio de 12 meses ponderado por dias",345284934786.28,273265987652.71,345284934786.28,72018947133.57
2011,total_recursos,630554400.00,728406516.85,97852116.85,15.52,presupuesto2011.pdf,rendicionctas20111.pdf,,433.37416669,"anual 2011, promedio de 12 meses ponderado por dias",315672567251.43,273265987652.71,315672567251.43,42406579598.72
2012,total_gastos,1046121500.00,972801913.59,-73319586.41,-7.01,presupuesto2012municipalidaddesanisidro.pdf,rendicionctas-2012_02.pdf,,350.37108754,"anual 2012, promedio de 12 meses ponderado por dias",340841664425.52,366530727653.98,340841664425.52,-25689063228.45
2012,total_recursos,1046121500.00,883519114.32,-162602385.68,-15.54,presupuesto2012municipalidaddesanisidro.pdf,rendicionctas-2012_02.pdf,,350.37108754,"anual 2012, promedio de 12 meses ponderado por dias",309559552946.68,366530727653.98,309559552946.68,-56971174707.30
2019,total_gastos,8579083000.00,9657905588.28,1078822588.28,12.58,informe_arsi_presupuesto_2019.pdf,informe_arsi_rendicion_de_cuentas_2019.pdf,"el ejecutado sale de la Cuenta Ahorro-Inversion, que deja las aplicaciones financieras debajo de la linea; el presupuestado si las incluye",43.44823107,"anual 2019, promedio de 12 meses ponderado por dias",419618913651.83,372745980552.71,419618913651.83,46872933099.12
2019,total_recursos,8579083000.00,9047833754.20,468750754.20,5.46,informe_arsi_presupuesto_2019.pdf,informe_arsi_rendicion_de_cuentas_2019.pdf,,43.44823107,"anual 2019, promedio de 12 meses ponderado por dias",393112371635.43,372745980552.71,393112371635.43,20366391082.72
2020,total_gastos,17501205467.00,12285200738.93,-5216004728.07,-29.80,informe_arsi_presupuesto_2020.pdf,informe_arsi_rendicion_de_cuentas_2020.pdf,"el ejecutado sale de la Cuenta Ahorro-Inversion, que deja las aplicaciones financieras debajo de la linea; el presupuestado si las incluye",30.60988824,"anual 2020, promedio de 12 meses ponderado por dias",376048621624.61,535709943410.15,376048621624.61,-159661321785.53
2020,total_recursos,17501205467.00,11948023156.01,-5553182310.99,-31.73,informe_arsi_presupuesto_2020.pdf,informe_arsi_rendicion_de_cuentas_2020.pdf,,30.60988824,"anual 2020, promedio de 12 meses ponderado por dias",365727653494.40,535709943410.15,365727653494.40,-169982289915.75
2021,total_gastos,24238704893.00,17927129929.72,-6311574963.28,-26.04,informe_arsi_presupuesto_2021.pdf,informe_arsi_rendicion_de_cuentas_2021.pdf,"el ejecutado sale de la Cuenta Ahorro-Inversion, que deja las aplicaciones financieras debajo de la linea; el presupuestado si las incluye",20.61411810,"anual 2021, promedio de 12 meses ponderado por dias",369551973565.29,499659525255.35,369551973565.29,-130107551690.06
2021,total_recursos,24238704893.00,19153264234.03,-5085440658.97,-20.98,informe_arsi_presupuesto_2021.pdf,informe_arsi_rendicion_de_cuentas_2021.pdf,,20.61411810,"anual 2021, promedio de 12 meses ponderado por dias",394827650920.80,499659525255.35,394827650920.80,-104831874334.55
