anio,concepto,subconcepto,monto,fuente,pagina
2011,gastos_por_objeto,bienes_de_consumo,38138000.00,presupuesto2011.pdf,28
2011,gastos_por_objeto,bienes_de_uso,32374500.00,presupuesto2011.pdf,28
2011,gastos_por_objeto,gastos_en_personal,287142307.00,presupuesto2011.pdf,28
2011,gastos_por_objeto,servicio_de_la_deuda,22977360.00,presupuesto2011.pdf,28
2011,gastos_por_objeto,servicios_no_personales,211681833.00,presupuesto2011.pdf,28
2011,gastos_por_objeto,transferencias,38240400.00,presupuesto2011.pdf,28
2011,recursos_por_origen,municipal,397985000.00,presupuesto2011.pdf,4
2011,recursos_por_origen,nacional,6144000.00,presupuesto2011.pdf,4
2011,recursos_por_origen,otros,13115000.00,presupuesto2011.pdf,4
2011,recursos_por_origen,provincial,213310400.00,presupuesto2011.pdf,4
2011,total_gastos,,630554400.00,presupuesto2011.pdf,28
2011,total_recursos,,630554400.00,presupuesto2011.pdf,4
2012,gastos_por_objeto,bienes_de_consumo,50362200.00,presupuesto2012municipalidaddesanisidro.pdf,20
2012,gastos_por_objeto,bienes_de_uso,47541500.00,presupuesto2012municipalidaddesanisidro.pdf,20
2012,gastos_por_objeto,gastos_en_personal,403515393.00,presupuesto2012municipalidaddesanisidro.pdf,20
2012,gastos_por_objeto,servicio_de_la_deuda,81510100.00,presupuesto2012municipalidaddesanisidro.pdf,20
2012,gastos_por_objeto,servicios_no_personales,375273307.00,presupuesto2012municipalidaddesanisidro.pdf,20
2012,gastos_por_objeto,transferencias,87919000.00,presupuesto2012municipalidaddesanisidro.pdf,20
2012,recursos_por_origen,municipal,648626500.00,presupuesto2012municipalidaddesanisidro.pdf,16
2012,recursos_por_origen,nacional,37525000.00,presupuesto2012municipalidaddesanisidro.pdf,16
2012,recursos_por_origen,otros,16015000.00,presupuesto2012municipalidaddesanisidro.pdf,16
2012,recursos_por_origen,provincial,343955000.00,presupuesto2012municipalidaddesanisidro.pdf,16
2012,total_gastos,,1046121500.00,presupuesto2012municipalidaddesanisidro.pdf,20
2012,total_recursos,,1046121500.00,presupuesto2012municipalidaddesanisidro.pdf,16
2013,gastos_por_objeto,bienes_de_consumo,90297500.00,msipresupuesto2013v2.pdf,17
2013,gastos_por_objeto,bienes_de_uso,41162000.00,msipresupuesto2013v2.pdf,17
