# Ejecución presupuestaria 2025 de 106 de los 135 municipios
# de la Provincia de Buenos Aires, del RAFAM provincial.
# Fuente: 01_raw/rafam_2025_106_municipios.csv (aportado, sin
# URL registrada en 01_raw/INVENTARIO.txt).
# Faltan 29 municipios. No se estima ninguno.
# pct_personal = gastos_en_personal_dev / total_presupuestario_dev
# pct_obra     = bienes_de_uso_dev      / total_presupuestario_dev
# puesto_personal: 1 = el que MENOS peso le da al personal.
# puesto_obra:     1 = el que MAS invierte en bienes de uso.
# mediana_pct_personal = 50.7427
# mediana_pct_obra     = 5.4397
municipio,seccion,total_presupuestario_dev,gastos_en_personal_dev,bienes_de_uso_dev,pct_personal,pct_obra,puesto_personal,puesto_obra,fuente
25 de Mayo,,37119.0,17303.0,5552.0,46.6149,14.9573,43,7,01_raw/rafam_2025_106_municipios.csv
Adolfo Gonzales Chaves,6,18901.0,10606.0,504.0,56.1134,2.6665,81,85,01_raw/rafam_2025_106_municipios.csv
Alberti,4,20721.0,9947.0,4849.0,48.0044,23.4014,49,2,01_raw/rafam_2025_106_municipios.csv
Arrecifes,2,21793.0,12055.0,572.0,55.3159,2.6247,78,86,01_raw/rafam_2025_106_municipios.csv
Ayacucho,5,32232.0,12302.0,860.0,38.1670,2.6682,27,84,01_raw/rafam_2025_106_municipios.csv
Azul,7,67153.0,36326.0,3527.0,54.0944,5.2522,70,55,01_raw/rafam_2025_106_municipios.csv
Bahia Blanca,,280651.0,88081.0,18629.0,31.3845,6.6378,13,45,01_raw/rafam_2025_106_municipios.csv
Balcarce,5,45874.0,13987.0,1506.0,30.4900,3.2829,12,73,01_raw/rafam_2025_106_municipios.csv
Baradero,2,29114.0,17949.0,180.0,61.6508,0.6183,95,104,01_raw/rafam_2025_106_municipios.csv
Benito Juarez,,37725.0,13636.0,4034.0,36.1458,10.6932,22,16,01_raw/rafam_2025_106_municipios.csv
Berazategui,3,153106.0,66808.0,14487.0,43.6351,9.4621,37,24,01_raw/rafam_2025_106_municipios.csv
Berisso,3,60550.0,35692.0,3284.0,58.9463,5.4236,85,54,01_raw/rafam_2025_106_municipios.csv
Bolivar,,47208.0,29037.0,846.0,61.5086,1.7921,93,91,01_raw/rafam_2025_106_municipios.csv
Bragado,4,37942.0,21827.0,2628.0,57.5273,6.9264,84,41,01_raw/rafam_2025_106_municipios.csv
Capitan Sarmiento,,13936.0,7087.0,813.0,50.8539,5.8338,54,49,01_raw/rafam_2025_106_municipios.csv
Carlos Casares,4,35358.0,19933.0,473.0,56.3748,1.3377,82,95,01_raw/rafam_2025_106_municipios.csv
Carlos Tejedor,4,18306.0,8019.0,798.0,43.8053,4.3592,38,61,01_raw/rafam_2025_106_municipios.csv
Carmen de Areco,2,11406.0,5017.0,876.0,43.9856,7.6802,39,32,01_raw/rafam_2025_106_municipios.csv
Castelli,5,16274.0,6045.0,807.0,37.1451,4.9588,25,56,01_raw/rafam_2025_106_municipios.csv
Chascomus,,45940.0,29865.0,1892.0,65.0087,4.1184,100,64,01_raw/rafam_2025_106_municipios.csv
Chivilcoy,4,55457.0,30406.0,1504.0,54.8281,2.7120,76,83,01_raw/rafam_2025_106_municipios.csv
Colon,,24605.0,12954.0,1766.0,52.6478,7.1774,62,39,01_raw/rafam_2025_106_municipios.csv
Coronel Dorrego,6,25261.0,14955.0,2006.0,59.2019,7.9411,87,29,01_raw/rafam_2025_106_municipios.csv
Coronel Pringles,6,32466.0,17323.0,3227.0,53.3574,9.9396,66,21,01_raw/rafam_2025_106_municipios.csv
Coronel Rosales,6,39675.0,28587.0,1108.0,72.0529,2.7927,106,82,01_raw/rafam_2025_106_municipios.csv
Coronel Suarez,,48767.0,30511.0,2310.0,62.5648,4.7368,97,57,01_raw/rafam_2025_106_municipios.csv
Daireaux,6,28214.0,12929.0,1301.0,45.8248,4.6112,41,58,01_raw/rafam_2025_106_municipios.csv
Dolores,5,35186.0,13800.0,3932.0,39.2201,11.1749,30,14,01_raw/rafam_2025_106_municipios.csv
Ensenada,3,69658.0,25036.0,4292.0,35.9413,6.1615,21,47,01_raw/rafam_2025_106_municipios.csv
Escobar,1,263646.0,86368.0,14384.0,32.7591,5.4558,14,53,01_raw/rafam_2025_106_municipios.csv
Exaltacion de la Cruz,,45571.0,13004.0,2490.0,28.5357,5.4640,9,52,01_raw/rafam_2025_106_municipios.csv
Ezeiza,3,130747.0,35443.0,7521.0,27.1081,5.7523,5,50,01_raw/rafam_2025_106_municipios.csv
Florencio Varela,3,169995.0,75998.0,18050.0,44.7060,10.6180,40,17,01_raw/rafam_2025_106_municipios.csv
Florentino Ameghino,4,13903.0,7397.0,343.0,53.2043,2.4671,63,89,01_raw/rafam_2025_106_municipios.csv
