anio,concepto,subconcepto,monto,porcentaje,fuente,pagina,coef_deflactor,base_coef,monto_constante_dic2025,monto_const_dic2025
2010,gastos_por_caracter,aplicaciones_financieras,50574013.00,8,rendicion2010.pdf,2,536.79822939,"anual 2010, promedio de 12 meses ponderado por dias",27148040631.55,27148040631.55
2010,gastos_por_caracter,gastos_corrientes,531395959.00,85,rendicion2010.pdf,2,536.79822939,"anual 2010, promedio de 12 meses ponderado por dias",285252409896.20,285252409896.20
2010,gastos_por_caracter,gastos_de_capital,43235937.00,7,rendicion2010.pdf,2,536.79822939,"anual 2010, promedio de 12 meses ponderado por dias",23208974427.62,23208974427.62
2010,gastos_por_jurisdiccion,HONORABLE CONCEJO DELIBERANTE,11514080.19,2,rendicion2010.pdf,3,536.79822939,"anual 2010, promedio de 12 meses ponderado por dias",6180737859.05,6180737859.05
2010,gastos_por_jurisdiccion,PARTIDAS NO ASIGNABLES A PROGRAMAS,53151766.54,9,rendicion2010.pdf,3,536.79822939,"anual 2010, promedio de 12 meses ponderado por dias",28531774167.62,28531774167.62
2010,gastos_por_jurisdiccion,"SEC. GRAL. DE GOBIERNO Y ADM., PRIVADA Y PRODUCCION",46720801.64,7,rendicion2010.pdf,3,536.79822939,"anual 2010, promedio de 12 meses ponderado por dias",25079643596.03,25079643596.03
2010,gastos_por_jurisdiccion,"SECRETARIA DE INSPECCIONES, REG. URB.Y TRANSITO",62027737.39,10,rendicion2010.pdf,3,536.79822939,"anual 2010, promedio de 12 meses ponderado por dias",33296379604.02,33296379604.02
2010,gastos_por_jurisdiccion,SECRETARIA DE INTEGRACION COMUNITARIA Y DESARROLLO SOCIAL,97106065.72,16,rendicion2010.pdf,3,536.79822939,"anual 2010, promedio de 12 meses ponderado por dias",52126364141.52,52126364141.52
2010,gastos_por_jurisdiccion,SECRETARIA DE OBRAS PUBLICAS,62626384.06,10,rendicion2010.pdf,3,536.79822939,"anual 2010, promedio de 12 meses ponderado por dias",33617732076.51,33617732076.51
2010,gastos_por_jurisdiccion,SECRETARIA DE SALUD PUBLICA,162305711.71,25,rendicion2010.pdf,3,536.79822939,"anual 2010, promedio de 12 meses ponderado por dias",87125418665.81,87125418665.81
2010,gastos_por_jurisdiccion,SECRETARIA DE SERVICIOS PUBLICOS,129753363.49,21,rendicion2010.pdf,3,536.79822939,"anual 2010, promedio de 12 meses ponderado por dias",69651375778.83,69651375778.83
2010,gastos_por_objeto,bienes_de_consumo,30912585.97,5,rendicion2010.pdf,4,536.79822939,"anual 2010, promedio de 12 meses ponderado por dias",16593821414.56,16593821414.56
2010,gastos_por_objeto,bienes_de_uso,16456216.30,3,rendicion2010.pdf,4,536.79822939,"anual 2010, promedio de 12 meses ponderado por dias",8833667772.30,8833667772.30
2010,gastos_por_objeto,recursos_humanos,251100620.21,40,rendicion2010.pdf,4,536.79822939,"anual 2010, promedio de 12 meses ponderado por dias",134790368327.46,134790368327.46
2010,gastos_por_objeto,rentas_de_la_propiedad,2577753.19,0.5,rendicion2010.pdf,4,536.79822939,"anual 2010, promedio de 12 meses ponderado por dias",1383733348.20,1383733348.20
2010,gastos_por_objeto,servicio_de_la_deuda,50574013.35,8,rendicion2010.pdf,4,536.79822939,"anual 2010, promedio de 12 meses ponderado por dias",27148040819.43,27148040819.43
2010,gastos_por_objeto,servicios_no_personales,205775921.09,33,rendicion2010.pdf,4,536.79822939,"anual 2010, promedio de 12 meses ponderado por dias",110460150092.21,110460150092.21
2010,gastos_por_objeto,transferencias_corrientes,41029079.37,7,rendicion2010.pdf,4,536.79822939,"anual 2010, promedio de 12 meses ponderado por dias",22024337159.32,22024337159.32
2010,gastos_por_objeto,transferencias_de_capital,26779721.26,4,rendicion2010.pdf,4,536.79822939,"anual 2010, promedio de 12 meses ponderado por dias",14375306955.93,14375306955.93
2010,recursos_por_origen,municipal,327047862.47,58,rendicion2010.pdf,5,536.79822939,"anual 2010, promedio de 12 meses ponderado por dias",175558713499.68,175558713499.68
2010,recursos_por_origen,nacional,38356554.01,7,rendicion2010.pdf,5,536.79822939,"anual 2010, promedio de 12 meses ponderado por dias",20589730278.07,20589730278.07
2010,recursos_por_origen,otros,10677405.68,2,rendicion2010.pdf,5,536.79822939,"anual 2010, promedio de 12 meses ponderado por dias",5731612463.50,5731612463.50
2010,recursos_por_origen,provincial,182302770.13,33,rendicion2010.pdf,5,536.79822939,"anual 2010, promedio de 12 meses ponderado por dias",97859804218.68,97859804218.68
2010,recursos_por_rubro,ingresos_no_tributarios,323337114.51,58,rendicion2010.pdf,1,536.79822939,"anual 2010, promedio de 12 meses ponderado por dias",173566790565.04,173566790565.04
2010,recursos_por_rubro,ingresos_tributarios,167062804.20,30,rendicion2010.pdf,1,536.79822939,"anual 2010, promedio de 12 meses ponderado por dias",89679017491.49,89679017491.49
2010,recursos_por_rubro,recursos_propios_de_capital,3486946.80,1,rendicion2010.pdf,1,536.79822939,"anual 2010, promedio de 12 meses ponderado por dias",1871786868.22,1871786868.22
2010,recursos_por_rubro,rentas_de_la_propiedad,223801.16,1,rendicion2010.pdf,1,536.79822939,"anual 2010, promedio de 12 meses ponderado por dias",120136066.42,120136066.42
2010,recursos_por_rubro,transferencias_corrientes,36285317.92,6,rendicion2010.pdf,1,536.79822939,"anual 2010, promedio de 12 meses ponderado por dias",19477894412.31,19477894412.31
2010,recursos_por_rubro,transferencias_de_capital,27988607.62,5,rendicion2010.pdf,1,536.79822939,"anual 2010, promedio de 12 meses ponderado por dias",15024235013.51,15024235013.51
2010,total_gastos,,625205910.74,,rendicion2010.pdf,2,536.79822939,"anual 2010, promedio de 12 meses ponderado por dias",335609425889.39,335609425889.39
2010,total_gastos_jurisdiccion,,625205910.74,,rendicion2010.pdf,3,536.79822939,"anual 2010, promedio de 12 meses ponderado por dias",335609425889.39,335609425889.39
2010,total_gastos_objeto,,625205910.74,,rendicion2010.pdf,4,536.79822939,"anual 2010, promedio de 12 meses ponderado por dias",335609425889.39,335609425889.39
