anio,bloque,orden,concepto,medida,monto,fuente
2024,ahorro_inversion,I,ingresos_corrientes,oficial,215023499681.17,sef_msi_-_2024.pdf
2024,ahorro_inversion,II,gastos_corrientes,oficial,175851118112.13,sef_msi_-_2024.pdf
2024,ahorro_inversion,III,ahorro_corriente,oficial,39172381569.04,sef_msi_-_2024.pdf
2024,ahorro_inversion,IV,recursos_de_capital,oficial,178900.89,sef_msi_-_2024.pdf
2024,ahorro_inversion,V,gastos_de_capital,oficial,12018592487.47,sef_msi_-_2024.pdf
2024,ahorro_inversion,VI,ingresos_totales,oficial,215023678582.06,sef_msi_-_2024.pdf
2024,ahorro_inversion,VII,gastos_totales,oficial,187869710599.60,sef_msi_-_2024.pdf
2024,ahorro_inversion,VIII,resultado_financiero,oficial,27153967982.46,sef_msi_-_2024.pdf
2024,ahorro_inversion,IX,fuentes_financieras,oficial,14985308114.71,sef_msi_-_2024.pdf
2024,ahorro_inversion,X,aplicaciones_financieras,oficial,42139276097.17,sef_msi_-_2024.pdf
2024,recursos_por_origen,,ORIGEN MUNICIPAL-DE LIBRE DISPONIBILIDAD,vigente,139660064962.95,sef_msi_-_2024.pdf
2024,recursos_por_origen,,ORIGEN MUNICIPAL-DE LIBRE DISPONIBILIDAD,devengado,159144675851.31,sef_msi_-_2024.pdf
2024,recursos_por_origen,,ORIGEN MUNICIPAL-DE LIBRE DISPONIBILIDAD,percibido,144222652544.71,sef_msi_-_2024.pdf
2024,recursos_por_origen,,ORIGEN MUNICIPAL-AFECTADOS,vigente,884527808.54,sef_msi_-_2024.pdf
2024,recursos_por_origen,,ORIGEN MUNICIPAL-AFECTADOS,devengado,807105927.20,sef_msi_-_2024.pdf
2024,recursos_por_origen,,ORIGEN MUNICIPAL-AFECTADOS,percibido,807105927.20,sef_msi_-_2024.pdf
2024,recursos_por_origen,,ORIGEN PROVINCIAL-DE LIBRE DISPONIBILIDAD,vigente,63243215430.97,sef_msi_-_2024.pdf
2024,recursos_por_origen,,ORIGEN PROVINCIAL-DE LIBRE DISPONIBILIDAD,devengado,62501653102.33,sef_msi_-_2024.pdf
2024,recursos_por_origen,,ORIGEN PROVINCIAL-DE LIBRE DISPONIBILIDAD,percibido,62501653102.33,sef_msi_-_2024.pdf
2024,recursos_por_origen,,ORIGEN PROVINCIAL-AFECTADOS,vigente,5267875137.28,sef_msi_-_2024.pdf
2024,recursos_por_origen,,ORIGEN PROVINCIAL-AFECTADOS,devengado,3480661898.15,sef_msi_-_2024.pdf
2024,recursos_por_origen,,ORIGEN PROVINCIAL-AFECTADOS,percibido,3480661898.15,sef_msi_-_2024.pdf
