# Serie de gasto total del Municipio de San Isidro con UN SOLO
# concepto en todos los anios: Gastos corrientes + gastos de capital (sin aplicaciones financieras).
# Pesos constantes de diciembre de 2025.
# Los anios sin dato quedan VACIOS. No se sustituyen por otro
# concepto. Ver data/COMPARACIONES_VALIDAS.md.
anio,concepto,monto_nominal,monto_constante_dic2025,var_real_pct,anio_anterior_con_dato,brecha_anios,origen_del_dato,como_se_obtuvo,componentes,dataset,fuente
2010,Gastos corrientes + gastos de capital (sin aplicaciones financieras),574631896.00,308461384323.82,,,,publicado,suma de los dos componentes de caracter economico publicados por la fuente,gastos_corrientes + gastos_de_capital,data/rendiciones_2010_2021.csv,rendicion2010.pdf
2011,Gastos corrientes + gastos de capital (sin aplicaciones financieras),737044564.84,319416074100.93,3.55,2010,1,publicado,suma de los dos componentes de caracter economico publicados por la fuente,gastos_corrientes + gastos_de_capital,data/rendiciones_2010_2021.csv,rendicionctas20111.pdf
2012,Gastos corrientes + gastos de capital (sin aplicaciones financieras),902719747.36,316286899626.36,-0.98,2011,1,publicado,suma de los dos componentes de caracter economico publicados por la fuente,gastos_corrientes + gastos_de_capital,data/rendiciones_2010_2021.csv,rendicionctas-2012_02.pdf
2013,Gastos corrientes + gastos de capital (sin aplicaciones financieras),,,,,,sin dato,no hay rendicion ni informe de ejecucion anual publicado para este anio,,,
2014,Gastos corrientes + gastos de capital (sin aplicaciones financieras),1836789774.71,358359662680.73,13.30,2012,2,publicado,suma de los dos componentes de caracter economico publicados por la fuente,gastos_corrientes + gastos_de_capital,SanIsidro_datos_fiscales/DATOS_SanIsidro_2014-2022.csv,Rendicion MSI 2014 (OCR) + SIMCo
2015,Gastos corrientes + gastos de capital (sin aplicaciones financieras),2550765880.76,393185801150.07,9.72,2014,1,publicado,suma de los dos componentes de caracter economico publicados por la fuente,gastos_corrientes + gastos_de_capital,SanIsidro_datos_fiscales/DATOS_SanIsidro_2014-2022.csv,Rendicion MSI 2015 (OCR)
2016,Gastos corrientes + gastos de capital (sin aplicaciones financieras),3348865257.16,371602251443.77,-5.49,2015,1,derivado,suma de los 6 objetos del gasto menos los financieros (Servicio de la deuda y disminucion de otros pasivos),Recursos humanos (personal) + Bienes de consumo + Servicios no personales + Bienes de uso + Transferencias,SanIsidro_datos_fiscales/DATOS_SanIsidro_2014-2022.csv,Lamina Gastos por Objeto incluida por error en Rendicion MSI 2017
2017,Gastos corrientes + gastos de capital (sin aplicaciones financieras),5150189491.25,461540565785.43,24.20,2016,1,publicado,suma de los dos componentes de caracter economico publicados por la fuente,gastos_corrientes + gastos_de_capital,SanIsidro_datos_fiscales/DATOS_SanIsidro_2014-2022.csv,Rendicion MSI 2017 (OCR)
2018,Gastos corrientes + gastos de capital (sin aplicaciones financieras),,,,,,sin dato,no hay rendicion ni informe de ejecucion anual publicado para este anio,,,
2019,Gastos corrientes + gastos de capital (sin aplicaciones financieras),9657905588.28,419618913651.84,-9.08,2017,2,publicado,suma de los dos componentes de caracter economico publicados por la fuente,gastos_corrientes + gastos_de_capital,data/rendiciones_2010_2021.csv,informe_arsi_rendicion_de_cuentas_2019.pdf
2020,Gastos corrientes + gastos de capital (sin aplicaciones financieras),12285200738.93,376048621624.61,-10.38,2019,1,publicado,suma de los dos componentes de caracter economico publicados por la fuente,gastos_corrientes + gastos_de_capital,data/rendiciones_2010_2021.csv,informe_arsi_rendicion_de_cuentas_2020.pdf
2021,Gastos corrientes + gastos de capital (sin aplicaciones financieras),17927129929.72,369551973565.29,-1.73,2020,1,publicado,suma de los dos componentes de caracter economico publicados por la fuente,gastos_corrientes + gastos_de_capital,data/rendiciones_2010_2021.csv,informe_arsi_rendicion_de_cuentas_2021.pdf
2022,Gastos corrientes + gastos de capital (sin aplicaciones financieras),32005333857.82,382390334727.64,3.47,2021,1,publicado,suma de los dos componentes de caracter economico publicados por la fuente,gastos_corrientes + gastos_de_capital,SanIsidro_datos_fiscales/DATOS_SanIsidro_2014-2022.csv,Rendicion MSI 2022 (OCR)
2023,Gastos corrientes + gastos de capital (sin aplicaciones financieras),,,,,,sin dato,no hay rendicion ni informe de ejecucion anual publicado para este anio,,,
2024,Gastos corrientes + gastos de capital (sin aplicaciones financieras),187869710599.60,300697965150.41,-21.36,2022,2,derivado,suma de los 6 objetos del gasto menos los financieros (SERVICIO DE LA DEUDA Y DISMINUCION DE OTROS PASIVOS),GASTOS EN PERSONAL + BIENES DE CONSUMO + SERVICIOS NO PERSONALES + BIENES DE USO + TRANSFERENCIAS,data/ejecucion_gastos_objeto.csv,2024_iv_gastos_por_objeto_-_anual.pdf
2025,Gastos corrientes + gastos de capital (sin aplicaciones financieras),309235829980.55,348875923719.59,16.02,2024,1,derivado,"suma de los 7 objetos del gasto menos los financieros (ACTIVOS FINANCIEROS, SERVICIO DE LA DEUDA Y DISMINUCION DE OTROS PASIVOS)",GASTOS EN PERSONAL + BIENES DE CONSUMO + SERVICIOS NO PERSONALES + BIENES DE USO + TRANSFERENCIAS,data/ejecucion_gastos_objeto.csv,2025_iv_gastos_por_objeto.pdf
