anio,concepto,monto_nominal,coef_deflactor,monto_constante_dic2025,var_real_pct,brecha_anios,filas_sumadas,prioridad_fuente,dataset,fuente
2010,Total de gastos de la rendicion de cuentas,625205910.74,536.79822939,335609425889.39,,,1,2,data/rendiciones_2010_2021.csv,rendicion2010.pdf
2011,Total de gastos de la rendicion de cuentas,796736310.85,433.37416669,345284934786.28,2.88,1,1,2,data/rendiciones_2010_2021.csv,rendicionctas20111.pdf
2012,Total de gastos de la rendicion de cuentas,972801913.59,350.37108754,340841664425.52,-1.29,1,1,2,data/rendiciones_2010_2021.csv,rendicionctas-2012_02.pdf
2014,Gastos ejecutados (incluye aplicaciones financieras),1968907491.18,195.10107668,384135971412.54,12.70,2,1,1,SanIsidro_datos_fiscales/DATOS_SanIsidro_2014-2022.csv,Rendicion MSI 2014 (OCR)
2015,Gastos con imputacion al presupuesto (HTC),2802816043.81,154.14421375,432037875358.98,12.47,1,1,1,SanIsidro_datos_fiscales/DATOS_SanIsidro_2014-2022.csv,Fallo HTC 3-109.0-2015 (OCR)
2016,Gastos con imputacion al presupuesto,3832062816.94,110.96363183,425219607568.36,-1.58,1,1,1,SanIsidro_datos_fiscales/DATOS_SanIsidro_2014-2022.csv,Fallo HTC 3-109.0-2016 + lamina en Rendicion MSI 2017
2017,Gastos con imputacion al presupuesto,5632276720.79,89.61622996,504743405808.67,18.70,1,1,1,SanIsidro_datos_fiscales/DATOS_SanIsidro_2014-2022.csv,Fallo HTC 3-109.0-2017 + Rendicion MSI
2019,Total de gastos de la rendicion de cuentas,9657905588.28,43.44823107,419618913651.83,-16.86,2,1,2,data/rendiciones_2010_2021.csv,informe_arsi_rendicion_de_cuentas_2019.pdf
2020,Total de gastos de la rendicion de cuentas,12285200738.93,30.60988824,376048621624.61,-10.38,1,1,2,data/rendiciones_2010_2021.csv,informe_arsi_rendicion_de_cuentas_2020.pdf
2021,Total de gastos de la rendicion de cuentas,17927129929.72,20.61411810,369551973565.29,-1.73,1,1,2,data/rendiciones_2010_2021.csv,informe_arsi_rendicion_de_cuentas_2021.pdf
2022,Gastos con imputacion al presupuesto,33280377868.83,11.94770648,397624186320.27,7.60,1,1,1,SanIsidro_datos_fiscales/DATOS_SanIsidro_2014-2022.csv,Fallo HTC 3-109.0-2022 + Rendicion MSI
2024,"Devengado, suma de los 6 objetos del gasto del informe acumulado anual",195572544447.22,1.60056650,313026862961.98,-21.28,2,6,3,data/ejecucion_gastos_objeto.csv,2024_iv_gastos_por_objeto_-_anual.pdf
2025,"Devengado, suma de los 7 objetos del gasto del informe acumulado anual",324303955405.45,1.12818726,365875590856.05,16.88,1,7,3,data/ejecucion_gastos_objeto.csv,2025_iv_gastos_por_objeto.pdf
