# Ordenanza Impositiva 2016, Anexo I al Capitulo I, pagina 28. La pagina es una imagen sin capa de
# texto; estas 142 filas se transcribieron a mano leyendo la imagen el 25/09/2026. Mismo formato que
# el resto del anexo: circunscripcion y seccion, fraccion, manzana, IUST.
cs,fraccion,manzana,iust
7B,0000,0002,160
7B,0000,0007,160
7B,0000,0008,160
7B,0000,0011B,160
7B,0000,0011C,160
7B,0000,0012,160
7B,0000,0013,160
7B,0000,0018A,160
7B,0000,0018B,160
7B,0000,0019,160
7B,0000,0020,160
7B,0000,0024,160
7B,0000,0025,160
7B,0000,0026,160
7B,0000,0027,160
7B,0000,0030,160
7B,0000,0031,160
7B,0000,0032,160
7B,0000,0033,160
7B,0000,0036A,160
7B,0000,0036B,160
7B,0000,0037,160
7B,0000,0038,160
7B,0000,0039,160
7B,0000,0049,160
7B,0000,0050,160
7B,0000,0051,160
7B,0000,0052,160
7B,0000,0056,160
7B,0000,0057,160
7B,0000,0058A,160
7B,0000,0059,300
7B,0000,0061A,160
7B,0000,0061B,160
7B,0000,0062A,160
7B,0000,0062B,160
7B,0000,0064,300
7B,0000,0065,300
7B,0000,0066,300
7B,0000,0067,160
7B,0000,0067,300
7B,0000,0068,300
7B,0000,0071,160
7B,0000,0072,160
7B,0000,0074,160
7B,0000,0075,160
7B,0000,0076,160
7B,0000,0079,160
7B,0000,0079,300
7B,0000,0080,300
7B,0000,0081,300
7B,0000,0082,300
7B,0000,0083,300
7B,0000,0083,480
7B,0001,0000,160
7B,0002,0000,70
7B,0002,0000,160
7B,0002,0000,300
7C,0000,0001,160
7C,0000,0001,300
7C,0000,0002,190
7C,0000,0002,300
7C,0000,0003A,300
7C,0000,0003B,190
7C,0000,0003B,300
7C,0000,0003C,190
7C,0000,0003D,190
7C,0000,0004A,190
7C,0000,0004B,190
7C,0000,0005A,240
7C,0000,0005A,300
7C,0000,0005B,240
7C,0000,0005B,300
7C,0000,0005C,240
7C,0000,0005D,240
7C,0000,0005E,240
7C,0000,0007,190
7C,0000,0008,190
7C,0000,0009,190
7C,0000,0009A,190
7C,0000,0009A,240
7C,0000,0009D,190
7C,0000,0009D,240
7C,0000,0009G,240
7C,0000,0010,160
7C,0000,0011,190
7C,0000,0012,190
7C,0000,0013,190
7C,0000,0014,300
7C,0000,0015,300
7C,0000,0016,480
7C,0000,0019,480
7C,0000,0020,300
7C,0000,0021,300
7C,0000,0022,480
7C,0000,0026,300
7C,0000,0027,300
7C,0000,0032,300
7C,0000,0033,300
7C,0000,0038,300
7C,0000,0039,300
7C,0000,0044,300
7C,0000,0049,360
7C,0000,0050,360
7C,0000,0051,300
7C,0000,0052,300
7C,0000,0053,300
7C,0000,0058,300
7C,0000,0059,300
7C,0000,0068,300
7C,0000,0069,300
7C,0000,0074,300
7C,0000,0075,300
7C,0000,0076,300
7C,0000,0076,480
7C,0000,0077,480
7C,0000,0080,300
7C,0000,0081,300
7C,0000,0083,300
7C,0000,0084,300
7C,0000,0086,300
7C,0000,0087,300
7C,0000,0088,300
7C,0000,0088,480
7C,0000,0091,300
7C,0000,0092,300
7C,0000,0093,480
7C,0001,0000,300
7C,0001,0000,480
7C,0002,0000,300
7C,0003,0000,300
7C,0003,0000,480
7D,0000,0001,300
7D,0000,0002,300
7D,0000,0003A,300
7D,0000,0003B,300
7D,0000,0004,300
7D,0000,0005,300
7D,0000,0006,300
7D,0000,0007,300
7D,0000,0008,300
7D,0000,0009,300
