cca,partida,localidad,superficie_m2,iust,vub,tierra_hoy,tierra_B_igual_recaudacion,tierra_B_mas_7225M,tierra_A,lon,lat
097010A00000000000000000000000010000001000,097014769,San Isidro,314.69,240,4222.29,521955,412772,452875,521955,-58.507716,-34.458264
097010A0000000000000000000000001000000100A,097072729,San Isidro,3834.09,240,4222.29,6359347,5029088,5517691,6359347,-58.507334,-34.458142
097010A00000000000000000000000010000002000,097038679,San Isidro,230.31,240,4222.29,382000,302092,331442,382000,-58.507561,-34.458463
097010A00000000000000000000000010000003000,097038678,San Isidro,233.55,240,4222.29,387374,306342,336105,387374,-58.507651,-34.458513
097010A00000000000000000000000010000004000,097038677,San Isidro,236.94,240,4222.29,392996,310789,340984,392996,-58.507742,-34.458563
097010A00000000000000000000000010000005000,097042617,San Isidro,240.09,240,4222.29,398221,314921,345517,398221,-58.507833,-34.458613
097010A00000000000000000000000010000006000,097042616,San Isidro,243.52,240,4222.29,403910,319420,350453,403910,-58.507923,-34.458663
097010A00000000000000000000000010000007000,097042615,San Isidro,246.51,240,4222.29,408870,323342,354756,408870,-58.508014,-34.458712
097010A00000000000000000000000010000008000,097038676,San Isidro,276.53,240,4222.29,458662,362718,397958,458662,-58.508131,-34.458739
097010A00000000000000000000000010000009000, ,San Isidro,264.28,240,4222.29,438343,346650,380329,438343,-58.508208,-34.458876
097010A00000000000000000000000010000010000, ,San Isidro,186.41,240,4222.29,309186,244510,268265,309186,-58.508284,-34.458782
097010A00000000000000000000000010000011000,097038674,San Isidro,237.02,240,4222.29,393129,310894,341099,393129,-58.508574,-34.458935
097010A0000000000000000000000001000001200A,097051019,San Isidro,584.33,240,4222.29,969189,766452,840917,969189,-58.508551,-34.459072
097010A00000000000000000000000010000014000,097039347,San Isidro,348.87,240,4222.29,578647,457605,502064,578647,-58.508746,-34.459121
097010A00000000000000000000000010000015000,097039357,San Isidro,296.97,240,4222.29,492564,389529,427374,492564,-58.508854,-34.459176
097010A00000000000000000000000010000016000,097039346,San Isidro,281.5,240,4222.29,466905,369237,405110,466905,-58.508956,-34.459215
097010A00000000000000000000000010000017000,097038673,San Isidro,396.63,240,4222.29,657863,520251,570796,657863,-58.509056,-34.459354
097010A00000000000000000000000010000018000,097053445,San Isidro,251.3,240,4222.29,416814,329624,361649,416814,-58.509143,-34.459248
097010A00000000000000000000000010000019000,097037272,San Isidro,267.11,240,4222.29,443037,350362,384402,443037,-58.509303,-34.459145
097010A00000000000000000000000010000020000,097037275,San Isidro,219.42,240,4222.29,363937,287808,315770,363937,-58.509238,-34.45907
097010A00000000000000000000000010000021000,097037273,San Isidro,224.58,240,4222.29,372496,294576,323196,372496,-58.509155,-34.459031
097010A00000000000000000000000010000022000,097038512,San Isidro,229.55,240,4222.29,380739,301095,330349,380739,-58.509037,-34.45903
097010A00000000000000000000000010000023000,097022118,San Isidro,211.93,240,4222.29,351514,277984,304991,351514,-58.508973,-34.458972
097010A0000000000000000000000001000002400A,097161916,San Isidro,221.46,240,4222.29,367321,290484,318706,367321,-58.508881,-34.458949
097010A00000000000000000000000010000025000,097018166,San Isidro,229.53,240,4222.29,380706,301069,330320,380706,-58.508818,-34.458888
097010A00000000000000000000000010000026000,097026435,San Isidro,226.46,240,4222.29,375614,297042,325902,375614,-58.508765,-34.458811
097010A00000000000000000000000010000027000,097037269,San Isidro,234.75,240,4222.29,389364,307916,337832,389364,-58.508646,-34.458816
