seccion,parcelas,localidad_mayoritaria,Acassuso,Martinez,San Isidro,Beccar,Villa Adelina,Boulogne Sur Mer
I-A,1729,San Isidro,163,0,1566,0,0,0
I-B,1210,San Isidro,0,0,1210,0,0,0
II-A,1331,San Isidro,0,0,1244,87,0,0
II-B,1651,San Isidro,0,0,1423,228,0,0
II-C,1038,San Isidro,394,0,644,0,0,0
III-A,1184,Acassuso,1184,0,0,0,0,0
III-B,758,Acassuso,757,0,1,0,0,0
III-C,1629,Acassuso,1629,0,0,0,0,0
III-D,2158,Martinez,834,1324,0,0,0,0
III-E,1299,Martinez,214,1085,0,0,0,0
III-F,2122,Acassuso,2061,61,0,0,0,0
III-G,2352,Acassuso,1313,1039,0,0,0,0
III-H,2620,Martinez,121,2499,0,0,0,0
III-J,2790,Martinez,0,2790,0,0,0,0
III-K,3,Acassuso,3,0,0,0,0,0
IV-A,740,Martinez,0,739,0,0,1,0
IV-B,1103,Martinez,0,1024,0,0,79,0
IV-C,1434,Martinez,664,770,0,0,0,0
IV-D,1284,Acassuso,1146,138,0,0,0,0
IV-E,195,Acassuso,195,0,0,0,0,0
V-A,1838,Villa Adelina,0,0,0,0,1318,520
V-B,2042,Villa Adelina,0,0,0,0,2042,0
V-C,2527,Boulogne Sur Mer,0,0,0,0,1081,1446
V-D,2020,Villa Adelina,0,0,0,0,2020,0
V-E,2177,Boulogne Sur Mer,0,0,0,0,239,1938
V-F,2269,Villa Adelina,0,0,0,0,2269,0
V-G,1375,Villa Adelina,0,0,0,0,1375,0
VI-A,1969,Boulogne Sur Mer,75,0,0,0,270,1624
VI-B,1342,Boulogne Sur Mer,0,0,0,0,0,1342
VI-C,2423,Boulogne Sur Mer,0,0,0,0,0,2423
VI-D,2056,Boulogne Sur Mer,0,0,0,0,2,2054
VI-E,700,Villa Adelina,0,0,0,0,700,0
VI-F,624,Boulogne Sur Mer,0,0,0,0,223,401
VI-G,887,Acassuso,460,0,0,0,427,0
VI-H,468,Boulogne Sur Mer,0,0,0,0,194,274
VI-I,515,Acassuso,470,0,0,0,45,0
VI-J,359,Villa Adelina,0,0,0,0,359,0
VII-A,1630,Beccar,117,0,285,1228,0,0
VII-B,971,San Isidro,84,0,614,273,0,0
VII-C,1257,San Isidro,233,0,1024,0,0,0
VII-D,1721,Acassuso,1426,0,295,0,0,0
VII-E,692,Acassuso,460,0,0,232,0,0
VII-F,963,Acassuso,903,0,0,60,0,0
VII-G,676,Acassuso,676,0,0,0,0,0
VII-H,622,Acassuso,622,0,0,0,0,0
VIII-A,437,Beccar,0,0,129,308,0,0
VIII-B,1776,Beccar,0,0,308,1468,0,0
VIII-C,847,Beccar,0,0,0,847,0,0
VIII-D,2088,Beccar,0,0,0,2088,0,0
VIII-E,743,Beccar,0,0,0,743,0,0
