radio_id,fraccion,zona,poblacion,nbi_pct,relacion_osm,asignado_por,fuente_limites,fuente_datos
067560101,10,Beccar,653,3.97,1770851,contiene,"OpenStreetMap, relaciones administrativas de localidad (no es fuente oficial)","INDEC, Censo Nacional de Poblacion, Hogares y Viviendas 2022, procesado con Redatam 7"
067560102,10,Beccar,469,1.23,1770851,contiene,"OpenStreetMap, relaciones administrativas de localidad (no es fuente oficial)","INDEC, Censo Nacional de Poblacion, Hogares y Viviendas 2022, procesado con Redatam 7"
067560103,10,Beccar,709,5.33,1770851,contiene,"OpenStreetMap, relaciones administrativas de localidad (no es fuente oficial)","INDEC, Censo Nacional de Poblacion, Hogares y Viviendas 2022, procesado con Redatam 7"
067560104,10,Beccar,1092,1.87,1770851,contiene,"OpenStreetMap, relaciones administrativas de localidad (no es fuente oficial)","INDEC, Censo Nacional de Poblacion, Hogares y Viviendas 2022, procesado con Redatam 7"
067560105,10,Beccar,1172,1.98,1770851,contiene,"OpenStreetMap, relaciones administrativas de localidad (no es fuente oficial)","INDEC, Censo Nacional de Poblacion, Hogares y Viviendas 2022, procesado con Redatam 7"
067560106,10,Beccar,1054,1.69,1770851,contiene,"OpenStreetMap, relaciones administrativas de localidad (no es fuente oficial)","INDEC, Censo Nacional de Poblacion, Hogares y Viviendas 2022, procesado con Redatam 7"
067560107,10,Beccar,858,0.34,1770851,contiene,"OpenStreetMap, relaciones administrativas de localidad (no es fuente oficial)","INDEC, Censo Nacional de Poblacion, Hogares y Viviendas 2022, procesado con Redatam 7"
067560108,10,Beccar,750,0.0,1770851,contiene,"OpenStreetMap, relaciones administrativas de localidad (no es fuente oficial)","INDEC, Censo Nacional de Poblacion, Hogares y Viviendas 2022, procesado con Redatam 7"
067560109,10,Beccar,621,3.05,1770851,contiene,"OpenStreetMap, relaciones administrativas de localidad (no es fuente oficial)","INDEC, Censo Nacional de Poblacion, Hogares y Viviendas 2022, procesado con Redatam 7"
067560110,11,Beccar,854,2.69,1770851,contiene,"OpenStreetMap, relaciones administrativas de localidad (no es fuente oficial)","INDEC, Censo Nacional de Poblacion, Hogares y Viviendas 2022, procesado con Redatam 7"
067560201,20,San Isidro,756,0.69,1877221,contiene,"OpenStreetMap, relaciones administrativas de localidad (no es fuente oficial)","INDEC, Censo Nacional de Poblacion, Hogares y Viviendas 2022, procesado con Redatam 7"
