indicador,que_mide,numerador,denominador
poblacion,suma de los radios de la zona,poblacion_sexo__total,
hogares,suma de los radios de la zona,hogares_nbi__total,
viviendas,suma de los radios de la zona,viviendas_tipo__total,
pct_nbi,hogares con al menos una necesidad basica insatisfecha,hogares_nbi__si,hogares_nbi__total
pct_privacion_convergente,hogares con privacion patrimonial y de recursos corrientes a la vez,hogares_ipmh__privacion_convergente,hogares_ipmh__total
pct_sin_cloaca,hogares sin desague a la red publica,hogares_desague__a_camara_septica_y_pozo_ciego + hogares_desague__solo_a_pozo_ciego + hogares_desague__a_hoyo_excavacion_en_la_tierra_etc,hogares_desague__total
pct_sin_gas_red,hogares que no cocinan con gas de red,hogares_combustible__electricidad + hogares_combustible__gas_en_garrafa + hogares_combustible__gas_en_tubo_o_a_granel_zeppelin + hogares_combustible__lena_o_carbon + hogares_combustible__otro_combustible,hogares_combustible__total
pct_sin_agua_red,hogares sin agua de red publica,hogares_agua__perforacion_con_bomba_a_motor + hogares_agua__perforacion_con_bomba_manual + hogares_agua__pozo_sin_bomba + hogares_agua__transporte_por_cisterna_agua_de_lluvia_rio_c + hogares_agua__otra_procedencia,hogares_agua__total
pct_hacinamiento,hogares con 2 o mas personas por cuarto,hogares_hacinamiento__2_00_3_00_personas_por_cuarto + hogares_hacinamiento__mas_de_3_00_personas_por_cuarto,hogares_hacinamiento__total
pct_hacinamiento_critico,hogares con mas de 3 personas por cuarto (hacinamiento critico),hogares_hacinamiento__mas_de_3_00_personas_por_cuarto,hogares_hacinamiento__total
pct_vivienda_precaria,viviendas que no son casa ni departamento ni pieza,viviendas_tipo__rancho + viviendas_tipo__casilla + viviendas_tipo__local_no_construido_para_habitacion_ocupado + viviendas_tipo__vivienda_movil_ocupada_casa_rodante_barco_ca,viviendas_tipo__total
pct_inquilinos,hogares que alquilan,hogares_tenencia__alquilada,hogares_tenencia__total
pct_tenencia_precaria,"hogares que ocupan prestado, cedido por trabajo u otra situacion",hogares_tenencia__prestada + hogares_tenencia__cedida_por_trabajo + hogares_tenencia__otra_situacion,hogares_tenencia__total
pct_edu_hasta_primaria,personas cuyo maximo nivel alcanzado es primaria o menos,educacion_mni__sin_instruccion + educacion_mni__primario_incompleto + educacion_mni__primario_completo,educacion_mni__total
pct_edu_secundaria_completa_o_mas,personas con secundaria completa o mas,educacion_mni__secundario_completo + educacion_mni__terciario_incompleto + educacion_mni__terciario_completo + educacion_mni__universitario_incompleto + educacion_mni__universitario_completo + educacion_mni__posgrado_incompleto + educacion_mni__posgrado_completo,educacion_mni__total
pct_edu_universitaria_completa_o_mas,personas con universidad completa o mas,educacion_mni__universitario_completo + educacion_mni__posgrado_incompleto + educacion_mni__posgrado_completo,educacion_mni__total
pct_hasta_14_anos,poblacion de hasta 14 anios,poblacion_edad__hasta_14_anos,poblacion_edad__total
pct_15_a_64_anos,poblacion de 15 a 64 anios,poblacion_edad__15_a_64_anos,poblacion_edad__total
pct_65_y_mas_anos,poblacion de 65 anios y mas,poblacion_edad__65_y_mas_anos,poblacion_edad__total
