fecha,puntaje,tienda,app,gestion,texto
2026-08-12,4,App Store,"San Isidro Digital (iOS, id 6504581437, com.citizen.sanisidrodigital)",actual,"Buena para reclamos — Funciona bien para reclamos. Seria conveniente agregarle mas funciones tales como pago de tasas, solicitud de turnos, etcétera"
2026-08-02,5,Google Play,San Isidro Digital (com.munidigital.sanisidro),actual,excelente
2026-07-18,1,Google Play,San Isidro Digital (com.munidigital.sanisidro),actual,"Funciona mal , no abre."
2026-07-16,1,Google Play,San Isidro Digital (com.munidigital.sanisidro),actual,abre y se cierra automáticamente
2026-07-13,1,Google Play,San Isidro Digital (com.munidigital.sanisidro),actual,pésima. se cierra automáticamente.
2026-07-10,5,Google Play,San Isidro Digital (com.munidigital.sanisidro),actual,bueno
2026-07-07,1,Google Play,Boton Panico San Isidro (ar.com.soflex.panico.san_isidro),actual,"no lo pude terminar, no acepta validarlo."
2026-06-23,1,Google Play,San Isidro Digital (com.munidigital.sanisidro),actual,Es malísima no está actualizada te repite los comentarios que pones porque no te avisa la acción. AAPp del siglo pasado. Es imposible colocar algunas direcciones el mapa no responde.
2026-06-12,1,App Store,"Boton Panico San Isidro (iOS, id 6502452273, ar.com.soflex.panico.san-isidro.v2)",actual,"NO FUNCIONA — Como todas las app de san Isidro, esta tampoco funciona, desinstalándo."
2026-05-22,1,Google Play,San Isidro Digital (com.munidigital.sanisidro),actual,"no funciona, no permite loguearse"
2026-05-12,1,Google Play,San Isidro Digital (com.munidigital.sanisidro),actual,horrible. no podes hacer el reclamo si no estas en tu domicilio ya que el GPS detecta q estas en otro lugar y no te deja colocar la direccion manualmente.
2026-04-27,5,Google Play,San Isidro Digital (com.munidigital.sanisidro),actual,realice un reclamo y en 24 hs lo resolvieron.
2026-04-23,5,Google Play,San Isidro Digital (com.munidigital.sanisidro),actual,Estupendo
2026-04-01,3,Google Play,San Isidro Digital (com.munidigital.sanisidro),actual,Innecesario tener una app para sólo un trámite. tranquilamente se podría hacer por la web sin la obligatoriedad de instalar una aplicación.
2026-03-17,1,Google Play,San Isidro Digital (com.munidigital.sanisidro),actual,"Me parece que está haciendo muchas cosas este Intendente pero hay una zona de San Isidro que estamos totalmente abandonados, no re pavimentan, hay baches grandes en la calle, yo no hago más reclamos estoy cansada, no viene el barrendero viene cuando quiere, realmente me da bronca porque uno paga y??? se encarga de San Isidro centro y de Beccar nada más. Decepcionante, salvo ojos en alerta que funciona bien y la recolección de residuos"
2026-01-21,1,Google Play,San Isidro Digital (com.munidigital.sanisidro),actual,Estoy tratando de averiguar dónde debo hacer una exposición civil y no tengo manera de ingresar aquí. Me muestra un mapa de la zona de mi domicilio (Florida) no acepta que modifique el número de la calle. Dice que no existe. No me deja ingresar. No puedo enviar este mensaje .. ...
2026-01-17,5,Google Play,Boton Panico San Isidro (ar.com.soflex.panico.san_isidro),actual,muy bueno lo estoy usando y lo usaré siempre por protección y seguridad
2026-01-01,1,Google Play,San Isidro Digital (com.munidigital.sanisidro),actual,Hace meses que denuncié a una mal llamada médica del Hospital Central que no solo nos maltrato a mi y mi hija autista si no que no nos quería realizar la atención xq había sido atendida x otro colega literalmente nos echo del consultorio ... Y de la app ni noticias es un cero a la izquierda...
2025-11-02,1,App Store,"San Isidro Digital (iOS, id 6504581437, com.citizen.sanisidrodigital)",actual,"No funciona — Ni siquiera me permitió crearme una cuenta. Y además de esto, llamando al número 147 (que supuestamente está activo las 24 hs) tampoco responde nadie. UN DESASTRE, CHORROS!!"
2025-11-01,1,App Store,"San Isidro Digital (iOS, id 6504581437, com.citizen.sanisidrodigital)",actual,Pésima app — Cargás el reclamo y te aparece un cartel de error y dice que lo cargues desde la app. Peor imposible.
2025-10-24,1,Google Play,San Isidro Digital (com.munidigital.sanisidro),actual,imposible registrarme. la aplicación se detiene en la aceptación de condiciones
2025-10-18,2,Google Play,San Isidro Digital (com.munidigital.sanisidro),actual,"La idea de una app es buena. En este caso me parece poco útil, se superpone al malísimo Tesi existente. Tuve que registrarme en ambos. No se puede mandar reclamos o salen repetidos. Me enviaron una respuesta: no hicieron lugar 😃 Del más importante: hace años vengo pidiendo iluminación y árboles huecos. Falta mucho por mejorar. Igualmente quiero decir que como inteligente Lanús está haciendo cosas muy importantes para San Isidro y a toda máquina."
2025-09-18,1,Google Play,Boton Panico San Isidro (ar.com.soflex.panico.san_isidro),actual,"no te deja registrarte, te pide un codigo que nunca te llega al mail ni al numero."
2025-09-02,1,Google Play,San Isidro Digital (com.munidigital.sanisidro),actual,Sería bueno que funcionara. Quise hacer un reclamo por una lámpara de alambrado público quemada y fue imposible. La app no funciona!!!!
2025-09-01,2,Google Play,San Isidro Digital (com.munidigital.sanisidro),actual,Parecía una app completa pero al querer cargar el reclamo me dice que hay un error y que lo intente más tarde.
2025-08-21,1,Google Play,San Isidro Digital (com.munidigital.sanisidro),actual,malisima. ademas de ser cero intuitiva. te metes y no te deja ver nada. horrible
2025-08-16,4,Google Play,San Isidro Digital (com.munidigital.sanisidro),actual,hice un reclamo y vi resultados. Espero que siga asi
2025-07-22,1,Google Play,San Isidro Digital (com.munidigital.sanisidro),actual,malisima!! no entra Gmail ni nada...malisima no m sorprende de esta gestión..............................................................
2025-07-17,1,Google Play,San Isidro Digital (com.munidigital.sanisidro),actual,cómo se carga la fecha de nacimiento?
2025-05-13,1,App Store,"San Isidro Digital (iOS, id 6504581437, com.citizen.sanisidrodigital)",actual,"No sirve — Nunca toman el reclamo, hice varios. Hay algunos del año pasado y nunca respondieron ni los tomaron. Hice uno más reciente hace poco y lo mismo. No gasten su tiempo, podría ser una buena app y útil pero no hacen nada"
2025-03-28,2,App Store,"San Isidro Digital (iOS, id 6504581437, com.citizen.sanisidrodigital)",actual,Para un simple reclamo de iluminación muy engorroso. — Mucha info pero parece que la gestión y reclamo no devuelve números y constancias
2025-03-27,5,Google Play,San Isidro Digital (com.munidigital.sanisidro),actual,funciona bien y tiene el botón antipánico
2025-03-07,1,Google Play,San Isidro Digital (com.munidigital.sanisidro),actual,"MALÍSIMA ,TENGO QUE APRETAR 800 VECES PARA PONER MI EDAD Y ME EXPIRA LA SESION , COMO TODO NO FUNCIONA"
