recordNumber,recordDate,projectType,politicalParty,author,topic,parlState,commissionEntryDate,commissionReportDate,diasEnComision,subtheme
00427-2023-HCD,2023-12-11,DEC - Decreto,Bloque Convocación por San Isidro,Rojo Maria Lucia,Licencia,Archivado,2024-02-29,2024-03-27,27,LICENCIA CONCEJAL ROJO
00423-2023-HCD,2023-12-11,DEC - Decreto,,Perez Walter Dr.,Licencia,Archivado,2024-02-29,2024-03-27,27,LIMITANDO USO DE LA LICENCIA.
00422-2023-HCD,2023-12-11,DEC - Decreto,Bloque Cambia San Isidro,Lanus Ramon,Otros,Archivado,2024-02-29,2024-03-27,27,RENUNCIA CONCEJAL RAMÓN LANÚS.
00425-2023-HCD,2023-12-12,ORD - Ordenanza,Bloque Frente Renovador – Frente de todos,Durand Maria Soledad,Salud Pública,Archivado,2023-12-07,,1021,CREANDO EL PROGRAMA INTEGRAL DE SALUD SEXUAL Y PROCREACIÓN RESPONSABLE.
12605-2023-A,2023-12-12,ORD - Ordenanza,Ejecutivo,Ejecutivo,ORDENANZA FISCAL,Sancionado,2023-12-11,,1017,PROYECTO DE ORDENANZA FISCAL 2024
12606-2023-A,2023-12-12,ORD - Ordenanza,Ejecutivo,Ejecutivo,ORDENANZA IMPOSITIVA,Sancionado,2023-12-11,,1017,PROYECTO DE ORDENANZA IMPOSITIVA 2024
006964-2023-S,2023-12-12,ORD - Ordenanza,Ejecutivo,Ejecutivo,Donación,Sancionado,2023-12-11,2024-03-27,107,ACEPTANDO UNA DONACIÓN.
007504-2023-S,2023-12-12,ORD - Ordenanza,Ejecutivo,Ejecutivo,Donación,Sancionado,2023-12-11,2024-03-27,107,ACEPTANDO DONACIÓN
12607-2023-C,2023-12-14,ORD - Ordenanza,Ejecutivo,Ejecutivo,Presupuesto,Sancionado,2023-12-12,,1016,PRESUPUESTO 2024
15471-2023-S,2023-12-14,ORD - Ordenanza,Ejecutivo,Ejecutivo,Adhesión,Sancionado,2023-12-13,2023-12-18,5,"PROYECTO DE ORDENANZA ADHIRIENDO A LA LEY PROVINCIAL N° 13.666 (modificada por Ley N° 14.828)) mediante la cual la Provincia de Buenos Aires se adhiere a la Ley Nacional N° 25.506 "" Ley de Firma Digital"". (modificatorias, complementarias y reglamentarias), en los términos del artículo 50 de dicho Cuerpo Legal.-"
00428-2023-HCD,2023-12-26,DEC - Decreto,Bloque UCR - Juntos San Isidro,Cuello Juliana (mandato cumplido),Licencia,Archivado,2024-02-29,2024-03-27,27,LICENCIA CONCEJAL CUELLO
00432-2023-HCD,2023-12-27,ORD - Ordenanza,Bloque Bloque FR - Unión X La Patria,Meca Federico,Seguridad,Archivado,2023-12-20,2024-05-07,139,CREANDO UNA CAMPAÑA DESTINADA A INFORMAR Y CREAR CONCIENCIA SOBRE LOS PELIGROS Y DAÑOS QUE IMPLICA EL USO IRRESPONSABLE DE PIROTECNIA.
007943-2019-A,2023-12-28,ORD - Ordenanza,Ejecutivo,Ejecutivo,Otros,En comisión,2023-12-28,,1000,SOLICITA AMPLIACIÓN DE COMODATO
12115-2023-S,2023-12-28,ORD - Ordenanza,Ejecutivo,Ejecutivo,ORDENANZA IMPOSITIVA,En comisión,2023-12-28,,1000,"SOLICITUD EXIMICION DE LA APLICACION DEL CAP. IX, ARTICULO 24°, INCISO 8.-"
003910-2023-A,2023-12-28,ORD - Ordenanza,Ejecutivo,Ejecutivo,Comercios e Industrias,En comisión,2023-12-28,,1000,EXENCION TASAS ARTICULOS . 58 INC. 7 AP.D - 85 INC VEREDAS AV. DE MAYO E/ VIRREY VERTIZ Y JOSE M. MORENO
11279-2021-S,2023-12-28,ORD - Ordenanza,Ejecutivo,Ejecutivo,Donación,Sancionado,2023-12-28,2024-03-27,90,DONACIÓN PARA EL MUSEO GRAL JUAN MARTIN DE PUYERREDÓN
00436-2023-HCD,2023-12-29,DEC - Decreto,Bloque UCR - Juntos San Isidro,Cuello Juliana (mandato cumplido),Licencia,Archivado,2024-02-29,2024-03-27,27,LICENCIA CONCEJAL CUELLO
00437-2023-HCD,2023-12-29,DEC - Decreto,Bloque Acción Vecinal San Isidro es Distinto - Juntos San Iisdro,Posse Macarena (mandato cumplido),Licencia,Archivado,2024-02-29,2024-03-27,27,LICENCIA CONCEJAL POSSE
0013-2024-HCD,2024-02-06,ORD - Ordenanza,Bloque Unión X La Patria,Sarmiento Celia (mandato cumplido),Ordenanza,Archivado,2024-02-06,,960,"DISPONIENDO QUE DURANTE EL AÑO 2024 TODA LA DOCUMENTACIÓN OFICIAL DE LA ADMINISTRACIÓN PÚBLICA DEL PARTIDO DE SAN ISIDRO LLEVE LA LEYENDA ""AÑO 2024 - 75° ANIVERSARIO DE LA GRATITUD UNIVERSITARIA EN LA REPÚBLICA ARGENTINA."
0011-2024-HCD,2024-02-06,RES - Resolución,Bloque Unión X La Patria,Sarmiento Celia (mandato cumplido),Declaración,Archivado,2024-02-06,,960,"EL H.C.D. MANIFIESTA SU PREOCUPACIÓN POR LA POSIBLE ELIMINACIÓN DE LA ZONA FRIA QUE INTRODUCE EL PROYECTO DE "" LEY OMNIBUS""."
0012-2024-HCD,2024-02-06,RES - Resolución,Bloque Unión X La Patria,Sarmiento Celia (mandato cumplido),Repudio,Archivado,2024-02-06,,960,EL H.C.D. EXPRESA SU REPUDIO Y PRECUPACIÓN ANTE LA SANCIÓN AL DECRETO 70/2023.
0017-2024-HCD,2024-02-28,DEC - Decreto,Bloque Unión X La Patria,Schuppisser Manuela,Deportes,Archivado,2024-02-27,2024-03-27,29,S/ SE RECTIFIQUE LA DECISIÓN TOMADA RESPECTO A LOS CLUBES QUE FORMAN PARTE DE LA LIGA MUNICIPAL DE BABY FUTBOL.
02105-2024-D ALC 1,2024-02-29,ORD - Ordenanza,Ejecutivo,Ejecutivo,Licencia,Sancionado,2024-02-29,,937,LICENCIA SR. INTENDENTE MUNICIPAL.
0033-2024-HCD,2024-02-29,ORD - Ordenanza,Bloque Pro San Isidro,Martinez Gabriela (mandato cumplido),Otros,Archivado,2024-02-28,2024-05-23,85,"EL H.C.D. EXPRESA SU PREOCUPACIÓN SOBRE EL ESTADO DEL INMUEBLE UBICADO EN LA AV. DEL LIBERTADOR AL 601, DE ESTE PARTIDO."
0037-2024-HCD,2024-03-07,ORD - Ordenanza,La Libertad Avanza,Feldtmann Maria Ines,Educación,Archivado,2024-03-01,,936,"INSTRUMENTANDO EL PROGRAMA ""QUEREMOS APRENDER""."
0036-2024-HCD,2024-03-07,ORD - Ordenanza,La Libertad Avanza,Feldtmann Maria Ines,Ordenanza,Archivado,2024-03-01,,936,"ESTABLECIENDO EL 25 DE MARZO DE CADA AÑO COMO ""DIA MUNICIPAL DEL NIÑO POR NACER""."
0043-2024-HCD,2024-03-11,RES - Resolución,Bloque Unión X La Patria,Sarmiento Celia (mandato cumplido),Repudio,Archivado,2024-03-21,,916,"EL H.C.D. EXPRESA SU REPUDIO A LA PRESENCIA DE LEONARDO SOSA EN EL CONGRESO DE LA NACIÓN, EN EL TRATAMIENTO DE LA LEY ÓMNIBUS."
0054-2024-HCD,2024-03-11,DEC - Decreto,Bloque Unión X La Patria,Bartolini Mateo (mandato cumplido),Pedido de informes,Archivado,2024-03-21,,916,CONVOCANDO AL DEPARTAMENTO EJECUTIVO PARA QUE POR INTERMEDIO DE LA SUBSECRETARÍA DE RECURSOS HUMANOS BRINDE UN INFORME RELACIONADO CON LA POLÍTICA DE RECURSOS HUMANOS DEL MUNICIPIO.
0052-2024-HCD,2024-03-11,DEC - Decreto,Bloque Unión X La Patria,Bartolini Mateo (mandato cumplido),Declaración de Interes,En comisión,2024-03-21,,916,DECLARANDO DE INTERÉS EL MONUMENTO A HIPÓLITO YRIGOYEN UBICADO EN LA PLAZA DE LA MUNICIPALIDAD.
0050-2024-HCD,2024-03-11,ORD - Ordenanza,Bloque Unión X La Patria,Sarmiento Celia (mandato cumplido),Ordenanza,Archivado,2024-03-21,,916,CREANDO LA OFICINA DE ACCESO A LA INFORMACIÓN PÚBLICA.-
