expediente,anio,bloque,tipo_proyecto,tema
7-HCD-2018,2018,frente renovador,resolucion,el h.c.d. repudia la decision del cierre de escuelas publicas en la zona insular de san fernando.-
27-HCD-2018,2018,unidad ciudadana,resolucion,"el h.c.d. declara su preocupacion y disconformidad por el cierre y fusion de cursos, en instituciones educativas del distrito.-"
061-HCD-2018,2018,unidad ciudadana,decreto,estableciendo la paridad de genero en el ambito de las autoridades del honorable concejo deliberante.-
062-HCD-2018,2018,unidad ciudadana,decreto,"adoptando en el ambito d~l honorable concejo deliberante la ""guia de lenguaje igualitario"".- i"
064-HCD-2018,2018,frente renovador,comunicacion,si la instalacion d~ un semaforo en la avda. juan segundo fernandez en su interseccion con la e:alle nicolas a vellaneda¡ de la ciudad de san isidro.-
065-HCD-2018,2018,unidad ciudadana,resolucion,el h.cd. manifiesta su preocupacion y disconformidad por la creacion de una comision permanente del mapa judicial de la pcia. de es. as.-
066-HCD-2018,2018,partido justicialista,resolucion,el hcd. expresa :3u repudio a la decision determinada por la jueza federal dra. maria servini de cubria de decretar la intervencion del partido justicialista n acional.-
070-HCD-2018,2018,partido justicialista,comunicacion,si impulsar la creacion de un fondo de asistencia medica excepcional.-
071-HCD-2018,2018,partido justicialista,resolucion,el hcd. expresa su repudio al injusto beneficio concedido al asesino miguel etchecolatz.-
073-HCD-2018,2018,partido justicialista,comunicacion,si informes relacionados con las patrullas comunitarias.-
076-HCD-2018,2018,partido justicialista,resolucion,"el h.cd. veria con agrado que el d.e. adhiera a la ley nº 14.603, decreto reglamentario nº 459/17 de la p,cia de bs. as.-"
077-HCD-2018,2018,partido justicialista,resolucion,"el h.cd. manifies;:a el rechazo por la medida impulsada por el poder judicial brasileno al arrestar al ex presidente de la republica federativa de brasil, luiz 1. lula da silva,-"
081-HCD-2018,2018,partido justicialista,resolucion,"el h.cd, expresa su preocupacion ante los desmedidos y continuos aumentos en las tarifas de servicios publicos.-"
082-HCD-2018,2018,partido rusticialista,comunicacion,si informes relacionados al programa de reconversion de luminarias para clubes de barrios y sociedades de fomento.-
084-HCD-2018,2018,partido justicialista,comunicacion,"slla repavimentacion ylo bacheo en la calle manuel lainez en su interseccion con la calle ntras. mc.lvinas, de la ciudad de boulogne.-"
089-HCD-2018,2018,convocacion por san isidro,comunicacion,"si convertir en sentido linico de circulacion vehicular a las calle cuyo y entre rios entre las a vdas. fleming y fondo de la legua, de la ciudad de martinez"
090-HCD-2018,2018,convocacion por san isidro,comunicacion,si estudio hidraulico en diversas calles de la ciudad de martij1ez.- i
092-HCD-2018,2018,convocacion por san isidro,comunicacion,"si la: colocacion de lomo de burro en la calle betbeder, entre las calles ipiranga y figueroa alcorta, de la ciudad de boulogne.-"
093-HCD-2018,2018,convocacion por san isidro,comunicacion,si informes sobre el puerto de san isidro.-. p. ase a : .l 36 - expte. nº 15664-s-2017.- departamento ejecutivo.- proyecto de ordenanza.- convalidando lo actuado por el d.e. mediante el decreto nº 2662/17.-
114-HCD-2018,2018,partido justicialista,comunicacion,si el vaciado de diversos contenedores de la ciudad de boulogne.-
115-HCD-2018,2018,partido justicialista,comunicacion,si diversos informes sobre la obra social ioma.-
116-HCD-2018,2018,partido justicialista,resolucion,el h.c.d. manifiesta su rechazo y preocupacion a la cadena farmacity.-
117-HCD-2018,2018,partido justicialista,resolucion,el h.c.d. expresa su desacuerdo ante la solicitud de ajuste a las provincias y municipios.-
128-HCD-2018,2018,unidad ciudadana,comunicacion,si la colocacion de senales y tachas refractarias en la_ interseccion de las calles jose ingenieros y uruguay con la ruta panamericana.-
129-HCD-2018,2018,unidad ciudadana,comunicacion,"si la extraccion del arbol situado en la calle los platanos nº 1174/1176, de la ciudad de villa adelina.-"
130-HCD-2018,2018,unidad ciudadana,comunicacion,si diversos :.nformes relacionados con las campanas de prevencion del vih-sida y otras enfermedades de transmision sexua1.-
136-HCD-2018,2018,unidad ciudadana,comunicacion,si aumentar la frecuencia de recoleccion de residuos en todos ..•. los barrios sin urbanizar del partido.-
138-HCD-2018,2018,unidad ciudadana,comunicacion,"si la instalacion de camaras de seguridad en la interseccion de las calles jorge newbery y marcon:l, de la ciudad de beccar.-"
139-HCD-2018,2018,convocacion por san isidro.,comunicacion,"~/ informes sobre el estado de diversos reclamos relacionados con luminarias, en el partido.-"
140-HCD-2018,2018,convocacion por san isidro,comunicacion,"si arbitrar las medidas necesarias con el fin de brindar una solucion al cruce peatonal para los alumnos que concurren a la escuela ""naciones unidas"", de la ciudad de martinez"
143-HCD-2018,2018,unidad ciudadana,resolucion,"el h.c.d. repudia la decision de retornar al financiamiento del'"" fondo monetario internacional (f.m.i.).-"
144-HCD-2018,2018,unidad ciudadana,comunicacion,si un amplio informe relacionado con el hospital central de san isidro.-
145-HCD-2018,2018,partido justicialista,comunicacion,"si la reparacion de la cinta asfaltica en la calle nuestras malvinas, entre las calles alte. betbeder y gregaria matorras de san martin, de la ciudad de boulogne.-"
146-HCD-2018,2018,partido justicialista,ordenanza,eximiendo totalmente de la tasa por servicios generales a contribuyentes de bajos recursos.-
149-HCD-2018,2018,partido justicialista,comunicacion,"si el reordenamiento vehicular en la calle matheu, entre la calle ipiranga y la avda. bernardo de irigoyen, de la ciudad de boulogne.-"
150-HCD-2018,2018,partido justicialista,resolucion,"el h.c.d. manifiesta su total apoyo y compromiso con la preservacion como espacio verde, publico y de acceso gratuito al predio del campo de golf de villa adelina.- -"
151-HCD-2018,2018,pro san isidro - cambiemos .,ordenanza,"creando y ejecutando campana de adopcion y tenencia responsable de perros y gatos ""hagamos amigos"".-"
156-HCD-2018,2018,partido justicialista,ordenanza,creando el registro municipal de actores de la economia social.-_
163-HCD-2018,2018,unidad ciudadana,ordenanza,declarando la emergencia tarifaria en materia de servicios publicos.-
166-HCD-2018,2018,unidad ciudadana,decreto,el h.c.d. adhiere a la ley nº 14.783 de la pcia. de buenos aires.- _
172-HCD-2018,2018,frente renov ador,comunicacion,"si la pavimentacion de la calle roma, entre las calles mtra. manuela garcia y padre acevedo, de la ciudad de beccar.-"
173-HCD-2018,2018,frente renovador,comunicacion,"si informe sobre lo ocurrido el dia 14 de mayo del corriente ano, en el hospital central de san isidro.-"
174-HCD-2018,2018,frente renovador,comunicacion,"si la construccion de un reductor de velocidad sobre la calle independencia esquina salguero, de la ciudad de boulogne.-"
175-HCD-2018,2018,frente renovador,comunicacion,"si refugios para pasajeros de transporte publico en la interseccion de las calles godoy cruz e independencia, de la ciudad de boulogne.-"
176-HCD-2018,2018,unidad ciudadana,ordenanza,"creando el programa ""prevencion de acoso callejero"".-"
182-HCD-2018,2018,convocacion por san isidro,comunicacion,"si reductores de velocidad en la interseccion de las calles intendente alfara y ricardo gutierrez, de la localidad de acassuso.-"
183-HCD-2018,2018,pro san isidro - cambiemos,decreto,declarando de interes del h.c.d. la realizacion del 3º foro nacional de gobierno abierto y tecnologia civica.-
190-HCD-2018,2018,premte renovador,resolucion,declarando paisaje protegido y de interes municipal la conservacion del predio del golf de la ciudad de villa adelina.-
201-HCD-2018,2018,unidad ciudadana,comunicacion,"s/ la pavimentacion de la calle los ceibos, entre las calles juan a mazza y bartolome novaro, de este partido.-"
202-HCD-2018,2018,unidad ciudadana,resolucion,el h.c.d. expresa su rechazo al decreto presidencial nº 499/2018.-
206-HCD-2018,2018,convocacion por san isidro,ordenanza,estableciendo que los boletines oficiales del d.e. sean publicados en la correspondiente pagina web oficial.-
207-HCD-2018,2018,convocacion por san isidro,comunicacion,"si el refuerzo de patrullaje al ""comando de patrullas"" (c.p ..) en diversas zonas de:la ciudad de villa adeli1:a.-"
208-HCD-2018,2018,convocacion por san isidro,resolucion,el h.c.d. expresa su beneplacito por la sancion de la ley e 158/18-19.-
209-HCD-2018,2018,convocacion por san isidro,comunicacion,"si informes relacionados con la construccion de un muelle a la altura de la calle roque saenz pena y la ribera del rio de plata, de este partido.-"
211-HCD-2018,2018,unidad ciudadana,resolucion,el h.c.d. manifiesta su repudio a las declaraciones de la gobernadora de la provincia de buenos aires.-
213-HCD-2018,2018,unidad ciudadana,comunicacion,si informes relacionados con la falta de servicio de ferrocarriles de la linea belgrano norte.-
222-HCD-2018,2018,unidad ciudadana,resolucion,"el b.c.d, adhiere al ""dia mundial contra la trata de personas"",-"
237-HCD-2018,2018,frente renovador,comunicacion,si a la agencia de administracion de bienes e1el estado (aabe) un informe sobre lo establecido en la resolucion nº 9/18.~
239-HCD-2018,2018,frente renovador,comunicacion,"si el entubamiento del arroyo alto peru en los tramos a cielo abierto: desde la a vda. marquez hasta la calle tomkinson, de este partido.-"
240-HCD-2018,2018,frente renovador,comunicacion,"si la realizacion de veredas en diversas calles del barrio santa rita, de laciudad de boulogne.-"
241-HCD-2018,2018,frente renov ador,comunicacion,"si la instalacion de un semaforo en la calle lamadrid en su interseccion con la calle thames, en la ciudad de villa adelina.-"
244-HCD-2018,2018,unidad ciudadana,comunicacion,"si la denominacion ""soldado carlos viegas cascalheiras"", a alguna calle de este partido.-"
253-HCD-2018,2018,convocacion por s.an isidro,comunicacion,"s/ la inspeccion del cantero ubicado en la calle la . calandria, entre las calles curupayti y wernicke, de este partido.-"
254-HCD-2018,2018,convocacion por san isidro,comunicacion,"s! la inspeccion del estado de las veredas ubicadas en la a vda. fondo de la legua, entre las calles gorriti y wilde, de este partido.-"
255-HCD-2018,2018,convocacion por san isidro,comunicacion,"si la instalacion de luminarias bajas led en la avda. fondo de la legua, en el tramo comprendido entre la avda. marquez y la calle thames, de este partido.-"
